n,family,mean_score,mean_identity_variant,mean_score_A2,count,zeta,variant
30,multi_layer_random,-42.486912576442556,-0.054635836470815366,-42.21373339408848,8,5.0,blind_self_hit_zscore
40,lorentzian_like_2d,-56.97317457862876,-0.04607756775840918,-56.74278673983671,8,5.0,blind_self_hit_zscore
40,multi_layer_random,-61.76142771115127,0.04607756775840913,-61.991815549943325,8,5.0,blind_self_hit_zscore
30,lorentzian_like_2d,-37.12937391134507,0.0546358364708152,-37.45718893016996,8,6.0,blind_self_hit_zscore
30,multi_layer_random,-42.54154841291337,-0.054635836470815366,-42.21373339408848,8,6.0,blind_self_hit_zscore
40,lorentzian_like_2d,-57.01925214638716,-0.04607756775840918,-56.74278673983671,8,6.0,blind_self_hit_zscore
40,multi_layer_random,-61.71535014339287,0.04607756775840913,-61.991815549943325,8,6.0,blind_self_hit_zscore
30,lorentzian_like_2d,-37.45718893016996,-0.2785430072655777,-37.45718893016996,8,0.0,blind_knn3_zscore
30,multi_layer_random,-42.21373339408848,0.278543007265578,-42.21373339408848,8,0.0,blind_knn3_zscore
40,lorentzian_like_2d,-56.74278673983671,-0.6838540894771279,-56.74278673983671,8,0.0,blind_knn3_zscore
40,multi_layer_random,-61.991815549943325,0.6838540894771281,-61.991815549943325,8,0.0,blind_knn3_zscore
30,lorentzian_like_2d,-37.59646043380275,-0.2785430072655777,-37.45718893016996,8,0.5,blind_knn3_zscore
30,multi_layer_random,-42.07446189045569,0.278543007265578,-42.21373339408848,8,0.5,blind_knn3_zscore
40,lorentzian_like_2d,-57.08471378457527,-0.6838540894771279,-56.74278673983671,8,0.5,blind_knn3_zscore
40,multi_layer_random,-61.64988850520476,0.6838540894771281,-61.991815549943325,8,0.5,blind_knn3_zscore
30,lorentzian_like_2d,-37.73573193743554,-0.2785430072655777,-37.45718893016996,8,1.0,blind_knn3_zscore
30,multi_layer_random,-41.9351903868229,0.278543007265578,-42.21373339408848,8,1.0,blind_knn3_zscore
40,lorentzian_like_2d,-57.42664082931384,-0.6838540894771279,-56.74278673983671,8,1.0,blind_knn3_zscore
40,multi_layer_random,-61.307961460466196,0.6838540894771281,-61.991815549943325,8,1.0,blind_knn3_zscore
30,lorentzian_like_2d,-37.87500344106833,-0.2785430072655777,-37.45718893016996,8,1.5,blind_knn3_zscore
30,multi_layer_random,-41.79591888319011,0.278543007265578,-42.21373339408848,8,1.5,blind_knn3_zscore
40,lorentzian_like_2d,-57.7685678740524,-0.6838540894771279,-56.74278673983671,8,1.5,blind_knn3_zscore
40,multi_layer_random,-60.96603441572763,0.6838540894771281,-61.991815549943325,8,1.5,blind_knn3_zscore
30,lorentzian_like_2d,-38.014274944701114,-0.2785430072655777,-37.45718893016996,8,2.0,blind_knn3_zscore
30,multi_layer_random,-41.65664737955733,0.278543007265578,-42.21373339408848,8,2.0,blind_knn3_zscore
40,lorentzian_like_2d,-58.11049491879096,-0.6838540894771279,-56.74278673983671,8,2.0,blind_knn3_zscore
40,multi_layer_random,-60.624107370989066,0.6838540894771281,-61.991815549943325,8,2.0,blind_knn3_zscore
30,lorentzian_like_2d,-38.153546448333906,-0.2785430072655777,-37.45718893016996,8,2.5,blind_knn3_zscore
30,multi_layer_random,-41.517375875924536,0.278543007265578,-42.21373339408848,8,2.5,blind_knn3_zscore
40,lorentzian_like_2d,-58.45242196352953,-0.6838540894771279,-56.74278673983671,8,2.5,blind_knn3_zscore
40,multi_layer_random,-60.282180326250504,0.6838540894771281,-61.991815549943325,8,2.5,blind_knn3_zscore
30,lorentzian_like_2d,-38.29281795196669,-0.2785430072655777,-37.45718893016996,8,3.0,blind_knn3_zscore
30,multi_layer_random,-41.378104372291745,0.278543007265578,-42.21373339408848,8,3.0,blind_knn3_zscore
40,lorentzian_like_2d,-58.79434900826809,-0.6838540894771279,-56.74278673983671,8,3.0,blind_knn3_zscore
40,multi_layer_random,-59.940253281511936,0.6838540894771281,-61.991815549943325,8,3.0,blind_knn3_zscore
30,lorentzian_like_2d,-38.43208945559948,-0.2785430072655777,-37.45718893016996,8,3.5,blind_knn3_zscore
30,multi_layer_random,-41.23883286865895,0.278543007265578,-42.21373339408848,8,3.5,blind_knn3_zscore
40,lorentzian_like_2d,-59.136276053006654,-0.6838540894771279,-56.74278673983671,8,3.5,blind_knn3_zscore
40,multi_layer_random,-59.598326236773374,0.6838540894771281,-61.991815549943325,8,3.5,blind_knn3_zscore
30,lorentzian_like_2d,-38.57136095923227,-0.2785430072655777,-37.45718893016996,8,4.0,blind_knn3_zscore
30,multi_layer_random,-41.09956136502617,0.278543007265578,-42.21373339408848,8,4.0,blind_knn3_zscore
40,lorentzian_like_2d,-59.478203097745215,-0.6838540894771279,-56.74278673983671,8,4.0,blind_knn3_zscore
40,multi_layer_random,-59.25639919203481,0.6838540894771281,-61.991815549943325,8,4.0,blind_knn3_zscore
30,lorentzian_like_2d,-38.84990396649785,-0.2785430072655777,-37.45718893016996,8,5.0,blind_knn3_zscore
30,multi_layer_random,-40.82101835776059,0.278543007265578,-42.21373339408848,8,5.0,blind_knn3_zscore
40,lorentzian_like_2d,-60.162057187222345,-0.6838540894771279,-56.74278673983671,8,5.0,blind_knn3_zscore
