family,tier,N,seed,aw,cf,aw_over_sqrtN
lorentzian_like_4d,Tier-1,44,47,25,0.14587737843551796,3.768891807222045
lorentzian_like_4d,Tier-1,44,48,21,0.14482029598308668,3.165869118066518
lorentzian_like_4d,Tier-1,44,49,23,0.17758985200845667,3.467380462644282
lorentzian_like_4d,Tier-1,44,50,21,0.17758985200845667,3.165869118066518
lorentzian_like_4d,Tier-1,44,51,23,0.15010570824524314,3.467380462644282
lorentzian_like_4d,Tier-1,52,42,26,0.16289592760180996,3.6055512754639896
lorentzian_like_4d,Tier-1,52,43,25,0.1689291101055807,3.466876226407682
lorentzian_like_4d,Tier-1,52,44,23,0.19532428355957768,3.1895261282950678
lorentzian_like_4d,Tier-1,52,45,23,0.1885369532428356,3.1895261282950678
lorentzian_like_4d,Tier-1,52,46,25,0.20588235294117646,3.466876226407682
lorentzian_like_4d,Tier-1,52,47,26,0.20135746606334842,3.6055512754639896
lorentzian_like_4d,Tier-1,52,48,26,0.15384615384615385,3.6055512754639896
lorentzian_like_4d,Tier-1,52,49,24,0.18024132730015083,3.328201177351375
lorentzian_like_4d,Tier-1,52,50,26,0.18024132730015083,3.6055512754639896
lorentzian_like_4d,Tier-1,52,51,25,0.17647058823529413,3.466876226407682
lorentzian_like_4d,Tier-1,56,42,27,0.17792207792207793,3.6080267658177294
lorentzian_like_4d,Tier-1,56,43,26,0.20194805194805196,3.474396144861517
lorentzian_like_4d,Tier-1,56,44,25,0.16363636363636364,3.3407655239053047
lorentzian_like_4d,Tier-1,56,45,27,0.17402597402597403,3.6080267658177294
lorentzian_like_4d,Tier-1,56,46,25,0.18701298701298702,3.3407655239053047
lorentzian_like_4d,Tier-1,56,47,29,0.18831168831168832,3.8752880077301537
lorentzian_like_4d,Tier-1,56,48,25,0.16753246753246753,3.3407655239053047
lorentzian_like_4d,Tier-1,56,49,25,0.19415584415584416,3.3407655239053047
lorentzian_like_4d,Tier-1,56,50,28,0.1590909090909091,3.7416573867739413
lorentzian_like_4d,Tier-1,56,51,24,0.19090909090909092,3.2071349029490928
KR_like,Tier-1,20,42,10,0.4105263157894737,2.23606797749979
KR_like,Tier-1,20,43,10,0.37894736842105264,2.23606797749979
KR_like,Tier-1,20,44,10,0.38421052631578945,2.23606797749979
KR_like,Tier-1,20,45,10,0.3684210526315789,2.23606797749979
KR_like,Tier-1,20,46,10,0.4105263157894737,2.23606797749979
KR_like,Tier-1,20,47,10,0.3631578947368421,2.23606797749979
KR_like,Tier-1,20,48,10,0.39473684210526316,2.23606797749979
KR_like,Tier-1,20,49,10,0.3736842105263158,2.23606797749979
KR_like,Tier-1,20,50,10,0.42105263157894735,2.23606797749979
KR_like,Tier-1,20,51,10,0.4,2.23606797749979
KR_like,Tier-1,28,42,14,0.3968253968253968,2.6457513110645903
KR_like,Tier-1,28,43,14,0.3783068783068783,2.6457513110645903
KR_like,Tier-1,28,44,14,0.3835978835978836,2.6457513110645903
KR_like,Tier-1,28,45,14,0.35978835978835977,2.6457513110645903
KR_like,Tier-1,28,46,14,0.41005291005291006,2.6457513110645903
KR_like,Tier-1,28,47,14,0.36243386243386244,2.6457513110645903
KR_like,Tier-1,28,48,14,0.3862433862433862,2.6457513110645903
KR_like,Tier-1,28,49,14,0.373015873015873,2.6457513110645903
KR_like,Tier-1,28,50,14,0.41005291005291006,2.6457513110645903
KR_like,Tier-1,28,51,14,0.42592592592592593,2.6457513110645903
KR_like,Tier-1,36,42,18,0.3984126984126984,3.0
KR_like,Tier-1,36,43,18,0.38412698412698415,3.0
KR_like,Tier-1,36,44,18,0.40476190476190477,3.0
KR_like,Tier-1,36,45,18,0.3746031746031746,3.0
KR_like,Tier-1,36,46,18,0.4142857142857143,3.0
KR_like,Tier-1,36,47,18,0.38412698412698415,3.0
KR_like,Tier-1,36,48,18,0.38412698412698415,3.0
KR_like,Tier-1,36,49,18,0.37142857142857144,3.0
KR_like,Tier-1,36,50,18,0.3952380952380952,3.0
KR_like,Tier-1,36,51,18,0.4126984126984127,3.0
KR_like,Tier-1,44,42,22,0.38372093023255816,3.3166247903554
KR_like,Tier-1,44,43,22,0.3879492600422833,3.3166247903554
KR_like,Tier-1,44,44,22,0.40169133192389006,3.3166247903554
KR_like,Tier-1,44,45,22,0.37315010570824525,3.3166247903554
KR_like,Tier-1,44,46,22,0.3974630021141649,3.3166247903554
KR_like,Tier-1,44,47,22,0.38266384778012685,3.3166247903554
KR_like,Tier-1,44,48,22,0.379492600422833,3.3166247903554
KR_like,Tier-1,44,49,22,0.37315010570824525,3.3166247903554
KR_like,Tier-1,44,50,22,0.38266384778012685,3.3166247903554
KR_like,Tier-1,44,51,22,0.3890063424947146,3.3166247903554
KR_like,Tier-1,52,42,26,0.3778280542986425,3.6055512754639896
KR_like,Tier-1,52,43,26,0.38461538461538464,3.6055512754639896
KR_like,Tier-1,52,44,26,0.4004524886877828,3.6055512754639896
KR_like,Tier-1,52,45,26,0.3717948717948718,3.6055512754639896
KR_like,Tier-1,52,46,26,0.3914027149321267,3.6055512754639896
KR_like,Tier-1,52,47,26,0.3808446455505279,3.6055512754639896
KR_like,Tier-1,52,48,26,0.38687782805429866,3.6055512754639896
KR_like,Tier-1,52,49,26,0.385369532428356,3.6055512754639896
KR_like,Tier-1,52,50,26,0.38310708898944196,3.6055512754639896
KR_like,Tier-1,52,51,26,0.389894419306184,3.6055512754639896
KR_like,Tier-1,56,42,28,0.38376623376623376,3.7416573867739413
KR_like,Tier-1,56,43,28,0.38441558441558443,3.7416573867739413
KR_like,Tier-1,56,44,28,0.3987012987012987,3.7416573867739413
KR_like,Tier-1,56,45,28,0.36948051948051946,3.7416573867739413
KR_like,Tier-1,56,46,28,0.38766233766233765,3.7416573867739413
KR_like,Tier-1,56,47,28,0.37857142857142856,3.7416573867739413
KR_like,Tier-1,56,48,28,0.38311688311688313,3.7416573867739413
KR_like,Tier-1,56,49,28,0.39025974025974025,3.7416573867739413
KR_like,Tier-1,56,50,28,0.38831168831168833,3.7416573867739413
KR_like,Tier-1,56,51,28,0.38831168831168833,3.7416573867739413
transitive_percolation,Tier-1,20,42,13,0.06842105263157895,2.9068883707497264
transitive_percolation,Tier-1,20,43,13,0.12105263157894737,2.9068883707497264
transitive_percolation,Tier-1,20,44,15,0.04736842105263158,3.3541019662496843
transitive_percolation,Tier-1,20,45,12,0.12631578947368421,2.6832815729997477
transitive_percolation,Tier-1,20,46,13,0.10526315789473684,2.9068883707497264
transitive_percolation,Tier-1,20,47,13,0.10526315789473684,2.9068883707497264
transitive_percolation,Tier-1,20,48,13,0.08947368421052632,2.9068883707497264
transitive_percolation,Tier-1,20,49,10,0.12105263157894737,2.23606797749979
transitive_percolation,Tier-1,20,50,9,0.1368421052631579,2.0124611797498106
transitive_percolation,Tier-1,20,51,14,0.11052631578947368,3.1304951684997055
transitive_percolation,Tier-1,28,42,15,0.08994708994708994,2.834733547569204
transitive_percolation,Tier-1,28,43,14,0.14814814814814814,2.6457513110645903
transitive_percolation,Tier-1,28,44,13,0.16137566137566137,2.456769074559977
transitive_percolation,Tier-1,28,45,12,0.23809523809523808,2.2677868380553634
transitive_percolation,Tier-1,28,46,16,0.14285714285714285,3.0237157840738176
transitive_percolation,Tier-1,28,47,14,0.1402116402116402,2.6457513110645903
transitive_percolation,Tier-1,28,48,14,0.17195767195767195,2.6457513110645903
transitive_percolation,Tier-1,28,49,12,0.2328042328042328,2.2677868380553634
transitive_percolation,Tier-1,28,50,13,0.1349206349206349,2.456769074559977
transitive_percolation,Tier-1,28,51,13,0.17195767195767195,2.456769074559977
transitive_percolation,Tier-1,36,42,17,0.1365079365079365,2.8333333333333335
transitive_percolation,Tier-1,36,43,16,0.1492063492063492,2.6666666666666665
transitive_percolation,Tier-1,36,44,18,0.15079365079365079,3.0
transitive_percolation,Tier-1,36,45,17,0.11587301587301588,2.8333333333333335
transitive_percolation,Tier-1,36,46,15,0.1746031746031746,2.5
transitive_percolation,Tier-1,36,47,15,0.2111111111111111,2.5
transitive_percolation,Tier-1,36,48,18,0.13968253968253969,3.0
transitive_percolation,Tier-1,36,49,17,0.14126984126984127,2.8333333333333335
transitive_percolation,Tier-1,36,50,12,0.32222222222222224,2.0
transitive_percolation,Tier-1,36,51,14,0.21587301587301588,2.3333333333333335
transitive_percolation,Tier-1,44,42,17,0.226215644820296,2.5628464289109907
transitive_percolation,Tier-1,44,43,15,0.22938689217758984,2.2613350843332274
transitive_percolation,Tier-1,44,44,18,0.14587737843551796,2.7136021011998728
transitive_percolation,Tier-1,44,45,14,0.3784355179704017,2.1105794120443453
transitive_percolation,Tier-1,44,46,18,0.2452431289640592,2.7136021011998728
transitive_percolation,Tier-1,44,47,20,0.14693446088794926,3.015113445777636
transitive_percolation,Tier-1,44,48,17,0.19767441860465115,2.5628464289109907
transitive_percolation,Tier-1,44,49,17,0.2632135306553911,2.5628464289109907
transitive_percolation,Tier-1,44,50,16,0.3382663847780127,2.412090756622109
transitive_percolation,Tier-1,44,51,17,0.1849894291754757,2.5628464289109907
transitive_percolation,Tier-1,52,42,19,0.1817496229260935,2.6348259320698384
transitive_percolation,Tier-1,52,43,19,0.24283559577677225,2.6348259320698384
transitive_percolation,Tier-1,52,44,18,0.25867269984917046,2.4961508830135313
transitive_percolation,Tier-1,52,45,17,0.277526395173454,2.3574758339572237
transitive_percolation,Tier-1,52,46,18,0.2895927601809955,2.4961508830135313
transitive_percolation,Tier-1,52,47,17,0.18250377073906485,2.3574758339572237
transitive_percolation,Tier-1,52,48,16,0.25565610859728505,2.2188007849009166
transitive_percolation,Tier-1,52,49,18,0.2873303167420814,2.4961508830135313
transitive_percolation,Tier-1,52,50,18,0.24132730015082957,2.4961508830135313
transitive_percolation,Tier-1,52,51,16,0.2526395173453997,2.2188007849009166
transitive_percolation,Tier-1,56,42,19,0.2461038961038961,2.538981798168032
transitive_percolation,Tier-1,56,43,14,0.33636363636363636,1.8708286933869707
transitive_percolation,Tier-1,56,44,20,0.2675324675324675,2.6726124191242437
transitive_percolation,Tier-1,56,45,15,0.3922077922077922,2.004459314343183
transitive_percolation,Tier-1,56,46,16,0.33246753246753247,2.138089935299395
transitive_percolation,Tier-1,56,47,16,0.2707792207792208,2.138089935299395
transitive_percolation,Tier-1,56,48,17,0.29285714285714287,2.271720556255607
