scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
1.900,1.9,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,16.529219462491362,108.69565041281906,sis,2
1.900,1.9,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.7939514484141625,80.0565939072913,exact,2
1.900,1.9,52,0.1,KR_like,-107.04272846656993,0.4525676255479016,16.529219462491362,108.69565041281906,sis,2
1.900,1.9,52,0.1,lorentzian_like_2d,-79.87719876244988,1.326944869083013,1.7939514484141625,80.0565939072913,exact,2
1.900,1.9,52,0.2,KR_like,-105.38980652032079,0.5246126141541778,16.529219462491362,108.69565041281906,sis,2
1.900,1.9,52,0.2,lorentzian_like_2d,-79.69780361760847,1.3390151076951902,1.7939514484141625,80.0565939072913,exact,2
1.900,1.9,52,0.4,KR_like,-102.08396262782253,0.6687025913667052,16.529219462491362,108.69565041281906,sis,2
1.900,1.9,52,0.4,lorentzian_like_2d,-79.33901332792564,1.3631555849195445,1.7939514484141625,80.0565939072913,exact,2
1.900,1.9,52,0.6,KR_like,-98.77811873532424,0.8127925685792226,16.529219462491362,108.69565041281906,sis,2
1.900,1.9,52,0.6,lorentzian_like_2d,-78.9802230382428,1.3872960621438988,1.7939514484141625,80.0565939072913,exact,2
1.900,1.9,52,0.8,KR_like,-95.47227484282598,0.9568825457917499,16.529219462491362,108.69565041281906,sis,2
1.900,1.9,52,0.8,lorentzian_like_2d,-78.62143274855997,1.4114365393682529,1.7939514484141625,80.0565939072913,exact,2
1.900,1.9,52,1.0,KR_like,-92.16643095032771,1.1009725230042824,16.529219462491362,108.69565041281906,sis,2
1.900,1.9,52,1.0,lorentzian_like_2d,-78.26264245887714,1.4355770165926072,1.7939514484141625,80.0565939072913,exact,2
1.900,1.9,52,1.5,KR_like,-83.90182121908202,1.4611974660355882,16.529219462491362,108.69565041281906,sis,2
1.900,1.9,52,1.5,lorentzian_like_2d,-77.36566673467006,1.4959282096534932,1.7939514484141625,80.0565939072913,exact,2
1.900,1.9,52,2.0,lorentzian_like_2d,-76.46869101046298,1.5562794027143787,1.7939514484141625,80.0565939072913,exact,2
1.900,1.9,52,2.0,KR_like,-75.63721148783634,1.821422409066909,16.529219462491362,108.69565041281906,sis,2
1.920,1.92,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,16.603913571378207,108.69565041281906,sis,2
1.920,1.92,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.8117668399770395,80.0565939072913,exact,2
1.920,1.92,52,0.1,KR_like,-107.03525905568124,0.45332337361734987,16.603913571378207,108.69565041281906,sis,2
1.920,1.92,52,0.1,lorentzian_like_2d,-79.8754172232936,1.3270244835487928,1.8117668399770395,80.0565939072913,exact,2
1.920,1.92,52,0.2,KR_like,-105.37486769854343,0.5261241102930695,16.603913571378207,108.69565041281906,sis,2
1.920,1.92,52,0.2,lorentzian_like_2d,-79.69424053929589,1.3391743366267597,1.8117668399770395,80.0565939072913,exact,2
1.920,1.92,52,0.4,KR_like,-102.05408498426777,0.6717255836444683,16.603913571378207,108.69565041281906,sis,2
1.920,1.92,52,0.4,lorentzian_like_2d,-79.33188717130048,1.3634740427826837,1.8117668399770395,80.0565939072913,exact,2
1.920,1.92,52,0.6,KR_like,-98.73330226999214,0.8173270569958924,16.603913571378207,108.69565041281906,sis,2
1.920,1.92,52,0.6,lorentzian_like_2d,-78.96953380330507,1.3877737489385924,1.8117668399770395,80.0565939072913,exact,2
1.920,1.92,52,0.8,KR_like,-95.4125195557165,0.9629285303473014,16.603913571378207,108.69565041281906,sis,2
1.920,1.92,52,0.8,lorentzian_like_2d,-78.60718043530967,1.4120734550945315,1.8117668399770395,80.0565939072913,exact,2
1.920,1.92,52,1.0,KR_like,-92.09173684144085,1.1085300036987153,16.603913571378207,108.69565041281906,sis,2
1.920,1.92,52,1.0,lorentzian_like_2d,-78.24482706731426,1.4363731612504553,1.8117668399770395,80.0565939072913,exact,2
1.920,1.92,52,1.5,KR_like,-83.78978005575176,1.4725336870772527,16.603913571378207,108.69565041281906,sis,2
1.920,1.92,52,1.5,lorentzian_like_2d,-77.33894364732575,1.49712242664027,1.8117668399770395,80.0565939072913,exact,2
1.920,1.92,52,2.0,lorentzian_like_2d,-76.43306022733722,1.55787169203007,1.8117668399770395,80.0565939072913,exact,2
1.920,1.92,52,2.0,KR_like,-75.48782327006265,1.8365373704557955,16.603913571378207,108.69565041281906,sis,2
1.940,1.94,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,16.678607680265053,108.69565041281906,sis,2
1.940,1.94,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.829582231539917,80.0565939072913,exact,2
1.940,1.94,52,0.1,KR_like,-107.02778964479256,0.4540791216867982,16.678607680265053,108.69565041281906,sis,2
1.940,1.94,52,0.1,lorentzian_like_2d,-79.87363568413731,1.3271040980145825,1.829582231539917,80.0565939072913,exact,2
1.940,1.94,52,0.2,KR_like,-105.35992887676605,0.5276356064319511,16.678607680265053,108.69565041281906,sis,2
1.940,1.94,52,0.2,lorentzian_like_2d,-79.69067746098332,1.3393335655583243,1.829582231539917,80.0565939072913,exact,2
1.940,1.94,52,0.4,KR_like,-102.02420734071305,0.6747485759222517,16.678607680265053,108.69565041281906,sis,2
1.940,1.94,52,0.4,lorentzian_like_2d,-79.32476101467533,1.363792500645823,1.829582231539917,80.0565939072913,exact,2
1.940,1.94,52,0.6,KR_like,-98.68848580466003,0.8218615454125623,16.678607680265053,108.69565041281906,sis,2
1.940,1.94,52,0.6,lorentzian_like_2d,-78.95884456836734,1.3882514357333013,1.829582231539917,80.0565939072913,exact,2
1.940,1.94,52,0.8,KR_like,-95.35276426860702,0.9689745149028528,16.678607680265053,108.69565041281906,sis,2
1.940,1.94,52,0.8,lorentzian_like_2d,-78.59292812205936,1.4127103708207949,1.829582231539917,80.0565939072913,exact,2
1.940,1.94,52,1.0,KR_like,-92.01704273255402,1.1160874843931685,16.678607680265053,108.69565041281906,sis,2
1.940,1.94,52,1.0,lorentzian_like_2d,-78.22701167575138,1.4371693059082835,1.829582231539917,80.0565939072913,exact,2
1.940,1.94,52,1.5,KR_like,-83.67773889242149,1.4838699081189175,16.678607680265053,108.69565041281906,sis,2
1.940,1.94,52,1.5,lorentzian_like_2d,-77.31222055998143,1.4983166436270172,1.829582231539917,80.0565939072913,exact,2
1.940,1.94,52,2.0,lorentzian_like_2d,-76.39742944421147,1.5594639813457511,1.829582231539917,80.0565939072913,exact,2
1.940,1.94,52,2.0,KR_like,-75.33843505228896,1.8516523318446816,16.678607680265053,108.69565041281906,sis,2
1.960,1.96,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,16.753301789151894,108.69565041281906,sis,2
1.960,1.96,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.8473976231027942,80.0565939072913,exact,2
1.960,1.96,52,0.1,KR_like,-107.02032023390387,0.45483486975624654,16.753301789151894,108.69565041281906,sis,2
1.960,1.96,52,0.1,lorentzian_like_2d,-79.87185414498103,1.3271837124803725,1.8473976231027942,80.0565939072913,exact,2
