n,gamma,family,action_mode,normalization_method,mean_score_norm,std_score_norm,count
16,1.0,absolute_layered,A1,robust_zscore,0.1013542961311501,0.4476976621913955,10
16,1.5,transitive_percolation,A1,robust_zscore,-2.534623728703914,0.8645487497922102,10
16,1.5,lorentzian_like_3d,A1,robust_zscore,-1.8417540663816088,0.3013712904046856,10
16,1.5,multi_layer_random,A1,robust_zscore,-1.2575297637486262,0.5506250953024282,10
16,1.5,KR_like,A1,robust_zscore,-1.153720609672522,0.12492134458400136,10
16,1.5,interval_order,A1,robust_zscore,-0.3441311170101208,0.5629013884384362,10
16,1.5,lorentzian_like_2d,A1,robust_zscore,-0.25624732340134077,0.25904705009767665,10
16,1.5,absolute_layered,A1,robust_zscore,-0.22360397724606615,0.4392255769828983,10
16,2.0,transitive_percolation,A1,robust_zscore,-2.8543670953103524,0.8480722428967452,10
16,2.0,lorentzian_like_3d,A1,robust_zscore,-2.1777634204385583,0.29876395560086977,10
16,2.0,multi_layer_random,A1,robust_zscore,-1.5942426004321328,0.5490241398504434,10
16,2.0,KR_like,A1,robust_zscore,-1.4920898463613241,0.12602808977478183,10
16,2.0,interval_order,A1,robust_zscore,-0.6792878913721533,0.5605838624485664,10
16,2.0,lorentzian_like_2d,A1,robust_zscore,-0.594507742838912,0.2587258754184706,10
16,2.0,absolute_layered,A1,robust_zscore,-0.5485622506232823,0.43076028784466674,10
16,3.0,transitive_percolation,A1,robust_zscore,-3.4938538285232297,0.8157180090649245,10
16,3.0,lorentzian_like_3d,A1,robust_zscore,-2.8497821285524574,0.2940067762302144,10
16,3.0,multi_layer_random,A1,robust_zscore,-2.2676682737991465,0.5458694220035868,10
16,3.0,KR_like,A1,robust_zscore,-2.1688283197389278,0.12834672971907765,10
16,3.0,interval_order,A1,robust_zscore,-1.3496014400962184,0.5559805540544834,10
16,3.0,lorentzian_like_2d,A1,robust_zscore,-1.2710285817140543,0.2581118415491762,10
16,3.0,absolute_layered,A1,robust_zscore,-1.198478797377715,0.41385176560136155,10
16,4.0,transitive_percolation,A1,robust_zscore,-4.133340561736107,0.7842442416509231,10
16,4.0,lorentzian_like_3d,A1,robust_zscore,-3.521800836666357,0.28988420943550336,10
16,4.0,multi_layer_random,A1,robust_zscore,-2.94109394716616,0.5427785402666464,10
16,4.0,KR_like,A1,robust_zscore,-2.8455667931165314,0.13079930908712914,10
16,4.0,interval_order,A1,robust_zscore,-2.0199149888202834,0.5514204527546291,10
16,4.0,lorentzian_like_2d,A1,robust_zscore,-1.9475494205891966,0.25753578497477864,10
16,4.0,absolute_layered,A1,robust_zscore,-1.8483953441321475,0.39697578220046753,10
16,6.0,transitive_percolation,A1,robust_zscore,-5.412314028161862,0.7243940974281743,10
16,6.0,lorentzian_like_3d,A1,robust_zscore,-4.865838252894155,0.28364935576314826,10
16,6.0,multi_layer_random,A1,robust_zscore,-4.2879452939001865,0.5367926732280055,10
16,6.0,KR_like,A1,robust_zscore,-4.199043739871739,0.13607692510564667,10
16,6.0,interval_order,A1,robust_zscore,-3.3605420862684134,0.5424342198978019,10
16,6.0,lorentzian_like_2d,A1,robust_zscore,-3.3005910983394813,0.25649861033806454,10
16,6.0,absolute_layered,A1,robust_zscore,-3.148228437641012,0.3633395595626557,10
16,8.0,transitive_percolation,A1,robust_zscore,-6.691287494587617,0.6695893238772259,10
16,8.0,lorentzian_like_3d,A1,robust_zscore,-6.209875669121953,0.2802359855562544,10
16,8.0,multi_layer_random,A1,robust_zscore,-5.634796640634214,0.5310753213154883,10
16,8.0,KR_like,A1,robust_zscore,-5.552520686626947,0.14180440852770676,10
