family,N,rep,perturbation,pert_rep,in_window_orig,F7_orig,cf_orig,returned,return_step,delta_F_recovery,basin_retention,final_F
Lor5D,16,1,del_edge,0,False,23.476435239744685,0.125,False,-1,-2.22327091150607,True,21.253164328238615
Lor5D,16,1,del_edge,1,False,23.476435239744685,0.125,False,-1,-2.7408994229730332,True,20.73553581677165
Lor5D,16,1,del_edge,2,False,23.476435239744685,0.125,False,-1,-3.1539503844480485,True,20.322484855296636
Lor5D,16,1,del_node,0,False,23.476435239744685,0.125,False,-1,-4.234621945320772,True,19.241813294423913
Lor5D,16,1,del_node,1,False,23.476435239744685,0.125,False,-1,-4.93848437415555,True,18.537950865589135
Lor5D,16,1,del_node,2,False,23.476435239744685,0.125,False,-1,-5.388921795071095,True,18.08751344467359
Lor5D,16,2,add_edge,0,False,21.37401229675147,0.16666666666666666,True,3,-2.982069084416608,False,18.391943212334862
Lor5D,16,2,add_edge,1,False,21.37401229675147,0.16666666666666666,False,-1,-0.6626996539911225,True,20.711312642760348
Lor5D,16,2,add_edge,2,False,21.37401229675147,0.16666666666666666,False,-1,-1.595520730523731,True,19.77849156622774
Lor5D,16,2,del_edge,0,False,21.37401229675147,0.16666666666666666,False,-1,-1.501848887376795,True,19.872163409374675
Lor5D,16,2,del_edge,1,False,21.37401229675147,0.16666666666666666,False,-1,-0.7294119434098896,True,20.64460035334158
Lor5D,16,2,del_edge,2,False,21.37401229675147,0.16666666666666666,False,-1,-0.45974627594553397,True,20.914266020805936
Lor5D,16,2,del_node,0,False,21.37401229675147,0.16666666666666666,False,-1,-2.832895238616569,True,18.5411170581349
Lor5D,16,2,del_node,1,False,21.37401229675147,0.16666666666666666,False,-1,-2.120355070158862,True,19.25365722659261
Lor5D,16,2,del_node,2,False,21.37401229675147,0.16666666666666666,False,-1,-2.86187244825798,False,18.51213984849349
KR,16,0,add_edge,0,True,37.57698406977218,0.38333333333333336,True,1,-21.526966534494676,False,16.050017535277505
KR,16,0,add_edge,1,True,37.57698406977218,0.38333333333333336,True,1,-24.61574169058848,False,12.961242379183702
KR,16,0,add_edge,2,True,37.57698406977218,0.38333333333333336,True,1,-26.45024034536653,False,11.12674372440565
KR,16,0,del_edge,0,True,37.57698406977218,0.38333333333333336,True,1,-24.234436122875714,False,13.342547946896465
KR,16,0,del_edge,1,True,37.57698406977218,0.38333333333333336,True,1,-23.925826676259074,False,13.651157393513106
KR,16,0,del_edge,2,True,37.57698406977218,0.38333333333333336,True,1,-23.304778521001126,False,14.272205548771053
KR,16,0,del_node,0,True,37.57698406977218,0.38333333333333336,True,1,-20.06088515356265,False,17.51609891620953
KR,16,0,del_node,1,True,37.57698406977218,0.38333333333333336,True,1,-24.92422672287931,False,12.65275734689287
KR,16,0,del_node,2,True,37.57698406977218,0.38333333333333336,True,1,-21.129867711535717,False,16.447116358236464
KR,16,1,add_edge,0,True,36.84323582200237,0.36666666666666664,True,1,-17.01815646953695,False,19.82507935246542
KR,16,1,add_edge,1,True,36.84323582200237,0.36666666666666664,True,1,-24.44093528599347,False,12.4023005360089
KR,16,1,add_edge,2,True,36.84323582200237,0.36666666666666664,True,1,-28.445876694124948,False,8.397359127877422
KR,16,1,del_edge,0,True,36.84323582200237,0.36666666666666664,True,1,-14.134055496671571,False,22.7091803253308
KR,16,1,del_edge,1,True,36.84323582200237,0.36666666666666664,True,1,-23.16566397471866,False,13.677571847283707
KR,16,1,del_edge,2,True,36.84323582200237,0.36666666666666664,True,1,-25.241066121244238,False,11.602169700758132
KR,16,1,del_node,0,True,36.84323582200237,0.36666666666666664,True,1,-19.52843423864953,False,17.31480158335284
KR,16,1,del_node,1,True,36.84323582200237,0.36666666666666664,True,1,-27.994840816537533,False,8.848395005464837
KR,16,1,del_node,2,True,36.84323582200237,0.36666666666666664,True,1,-16.699352855447373,False,20.143882966554997
KR,16,2,add_edge,0,True,36.86441974800428,0.375,True,1,-22.662567737946244,False,14.201852010058037
KR,16,2,add_edge,1,True,36.86441974800428,0.375,True,1,-20.031814015948065,False,16.832605732056216
KR,16,2,add_edge,2,True,36.86441974800428,0.375,True,1,-24.2416296763009,False,12.622790071703381
KR,16,2,del_edge,0,True,36.86441974800428,0.375,True,1,-31.30008651341202,False,5.564333234592262
KR,16,2,del_edge,1,True,36.86441974800428,0.375,True,1,-17.89130671336915,False,18.97311303463513
KR,16,2,del_edge,2,True,36.86441974800428,0.375,True,1,-20.764898015759606,False,16.099521732244675
KR,16,2,del_node,0,True,36.86441974800428,0.375,True,1,-25.164226452800193,False,11.70019329520409
KR,16,2,del_node,1,True,36.86441974800428,0.375,True,1,-30.846904583643727,False,6.017515164360553
KR,16,2,del_node,2,True,36.86441974800428,0.375,True,1,-20.336889501183986,False,16.527530246820294
Lor2D,20,0,add_edge,0,True,33.43832182881759,0.47368421052631576,True,1,-10.80895574969463,True,22.629366079122963
Lor2D,20,0,add_edge,1,True,33.43832182881759,0.47368421052631576,True,1,-14.41038687239756,False,19.027934956420033
Lor2D,20,0,add_edge,2,True,33.43832182881759,0.47368421052631576,True,4,-18.516699398940943,False,14.92162242987665
Lor2D,20,0,del_edge,0,True,33.43832182881759,0.47368421052631576,True,1,-17.50732624781712,False,15.930995581000472
Lor2D,20,0,del_edge,1,True,33.43832182881759,0.47368421052631576,True,9,-14.747095249005966,False,18.691226579811627
