n,family,sample_id,comparable_fraction,cover_density,interval_empty_fraction,mean_interval_size_ratio,neutral_penalty,geo_width_height,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total
16,lorentzian_like_3d,3,0.2916666666666667,0.20833333333333334,0.7142857142857143,0.023214285714285715,0.09689500596788195,0.9620260235635408,0.0,6.944444444444442e-05,0.13607602040816322,0.0,0.03125,2.6671404825012313
16,lorentzian_like_3d,4,0.36666666666666664,0.26666666666666666,0.7272727272727273,0.03125,0.132080078125,0.31316983010658395,0.0,0.004444444444444443,0.15743434917355367,0.0036000000000000064,0.03125,1.5073447394142696
16,lorentzian_like_3d,5,0.18333333333333332,0.13333333333333333,0.7272727272727273,0.017045454545454544,0.015265570746527778,0.4804530139182014,0.0,0.0,0.15923574380165284,0.0,0.00390625,1.7648972468446669
16,transitive_percolation,0,0.13333333333333333,0.075,0.5625,0.03515625,0.18310546875,0.6576078155726617,0.0,0.0,0.0008750976562499945,0.0,0.052083333333333336,1.42375778609324
16,transitive_percolation,1,0.06666666666666667,0.058333333333333334,0.875,0.0078125,0.2701529947916667,1.4495505135564588,0.0011111111111111115,0.0,0.5322691406249999,0.0,0.080078125,5.727269646904584
16,transitive_percolation,2,0.125,0.09166666666666666,0.7333333333333333,0.016666666666666666,0.22144741482204866,1.4495505135564588,0.0,0.0,0.17023333333333318,0.0,0.095703125,3.9416739437795836
16,transitive_percolation,3,0.08333333333333333,0.06666666666666667,0.8,0.0125,0.22936279296875003,1.4495505135564588,0.0002777777777777781,0.0,0.315525,0.0,0.078125,4.634642693779584
16,transitive_percolation,4,0.15,0.10833333333333334,0.7222222222222222,0.017361111111111112,0.03691270616319444,0.7179136642167333,0.0,0.0,0.15035254629629619,0.0,0.009765625,2.207121309914948
16,transitive_percolation,5,0.08333333333333333,0.075,0.9,0.00625,0.26818115234375,1.4495505135564588,0.0002777777777777781,0.0,0.61705625,0.0,0.080078125,6.1462051937795845
20,multi_layer_random,0,0.30526315789473685,0.1631578947368421,0.5344827586206896,0.05,0.1036,0.22090341150416293,0.0,0.0,0.0,0.00853333333333335,0.021875000000000006,0.5282234896749927
20,multi_layer_random,1,0.23684210526315788,0.14736842105263157,0.6222222222222222,0.02777777777777778,0.08146875,0.4804530139182014,0.0,0.0,0.02667777777777775,0.0,0.010000000000000002,1.1142949167252916
20,multi_layer_random,2,0.33157894736842103,0.1631578947368421,0.49206349206349204,0.04523809523809524,0.11081875,0.6576078155726617,0.0,0.0,0.0,0.0009000000000000016,0.017500000000000005,1.3547156311453232
20,multi_layer_random,3,0.4,0.16842105263157894,0.40625,0.05,0.058649999999999994,0.03324115007177121,0.0004000000000000007,0.0,0.0,0.0,0.0075,0.08388230014354242
20,multi_layer_random,4,0.4421052631578947,0.14210526315789473,0.34375,0.06015625,0.08515,0.11321356601688148,0.003857063711911355,0.0,0.0,0.0,0.018749999999999996,0.2870695143052311
20,multi_layer_random,5,0.33157894736842103,0.14736842105263157,0.4444444444444444,0.04444444444444444,0.10644375,0.6576078155726617,0.0,0.0,0.0,0.0,0.04333333333333334,1.40188229781199
20,lorentzian_like_2d,0,0.48947368421052634,0.20526315789473684,0.40625,0.0734375,0.06109652777777778,0.03324115007177121,0.011984487534626043,2.7700831024930628e-05,0.0,0.0016363636363636394,0.007000000000000001,0.1606541460261917
20,lorentzian_like_2d,1,0.531578947368421,0.20526315789473684,0.359375,0.0828125,0.08486874999999999,0.03324115007177121,0.022976177285318554,2.7700831024930628e-05,0.0,0.0030000000000000057,0.01875,0.25692246634852856
20,lorentzian_like_2d,2,0.4,0.18947368421052632,0.4375,0.059375,0.039400000000000004,0.0,0.0004000000000000007,0.0,0.0,0.0009000000000000016,0.003125,0.013150000000000012
20,lorentzian_like_2d,3,0.5526315789473685,0.21052631578947367,0.421875,0.09453125,0.09953819444444445,0.023762432091205918,0.029801662049861514,0.00011080332409972251,0.0,0.00027692307692307744,0.017499999999999998,0.2630518618384955
20,lorentzian_like_2d,4,0.45263157894736844,0.18947368421052632,0.421875,0.065625,0.06767777777777777,0.03324115007177121,0.005275346260387814,0.0,0.0,0.0004500000000000008,0.009500000000000003,0.11938437770586931
