family,N,rep,center_layer,n_layers_total,n_nodes,total_relations,bd_ratio,bdg_d2c,bdg_d4,link_frac
Lor2D,48,5,8,11,9,8,0.140625,-0.3333333333333333,1.2222222222222223,0.875
Lor2D,48,5,9,11,8,5,0.5599999999999999,0.75,2.875,0.6
Lor2D,48,5,10,11,3,2,0.0,-0.3333333333333333,0.3333333333333333,1.0
Lor2D,48,6,0,10,10,6,0.0,-0.2,0.4,1.0
Lor2D,48,6,1,10,18,34,0.389273356401384,-0.6666666666666666,3.2777777777777777,0.7058823529411765
Lor2D,48,6,2,10,21,44,0.3352272727272727,-1.4761904761904763,2.4285714285714284,0.75
Lor2D,48,6,3,10,19,32,0.4296875,-0.47368421052631576,1.9473684210526316,0.6875
Lor2D,48,6,4,10,15,16,0.3125,-0.06666666666666667,2.6,0.75
Lor2D,48,6,5,10,10,10,0.39000000000000007,0.2,3.0,0.7
Lor2D,48,6,6,10,15,33,0.33792470156106524,-1.9333333333333333,-4.2,0.7575757575757576
Lor2D,48,6,7,10,14,23,0.274102079395085,-1.0,1.1428571428571428,0.782608695652174
Lor2D,48,6,8,10,12,7,0.16326530612244902,0.16666666666666666,1.25,0.8571428571428571
Lor2D,48,6,9,10,4,1,0.0,0.5,0.75,1.0
Lor2D,48,7,0,10,13,9,0.0,-0.38461538461538464,0.3076923076923077,1.0
Lor2D,48,7,1,10,18,30,0.22777777777777775,-1.5555555555555556,1.9444444444444444,0.8333333333333334
Lor2D,48,7,2,10,19,41,0.3997620464009518,-1.105263157894737,1.2105263157894737,0.7073170731707317
Lor2D,48,7,3,10,18,31,0.4807492195629553,0.0,5.388888888888889,0.6451612903225806
Lor2D,48,7,4,10,19,33,0.4132231404958677,-0.5789473684210527,1.894736842105263,0.696969696969697
Lor2D,48,7,5,10,17,28,0.36734693877551017,-0.4117647058823529,4.0588235294117645,0.7142857142857143
Lor2D,48,7,6,10,12,12,0.3125,0.0,2.5,0.75
Lor2D,48,7,7,10,8,6,0.4444444444444445,0.5,2.75,0.6666666666666666
Lor2D,48,7,8,10,7,8,0.515625,0.42857142857142855,4.142857142857143,0.625
Lor2D,48,7,9,10,5,3,0.0,-0.2,0.4,1.0
Lor2D,48,8,0,11,13,8,0.0,-0.23076923076923078,0.38461538461538464,1.0
Lor2D,48,8,1,11,18,29,0.2437574316290131,-1.6666666666666667,-2.111111111111111,0.8275862068965517
Lor2D,48,8,2,11,22,72,0.5516975308641976,-1.7272727272727273,0.36363636363636365,0.6388888888888888
Lor2D,48,8,3,11,21,51,0.39292579777008846,-2.238095238095238,-2.142857142857143,0.7254901960784313
