d,N,hubble,rep,R_dS,H2,n_causal_pairs,rho_eff,b1_mean,b1_std,b1_median,s_bdg,b1_mean_scaled,b1_std_scaled,s_bdg_scaled
4,256,2.0,5,48.0,4.0,50,0.1953125,0.9609375,1.1032788047876882,1.0,246.0,0.42467838909153,0.48758495275297725,108.71766760743168
4,256,2.0,6,48.0,4.0,48,0.1875,0.8125,0.4192627457812106,1.0,208.0,0.3518228202874282,0.18154609435347266,90.06664199358161
4,256,2.0,7,48.0,4.0,69,0.26953125,0.73046875,0.4776339134456823,1.0,187.0,0.3792330718666211,0.24797032894792817,97.083666397855
4,256,2.0,8,48.0,4.0,43,0.16796875,0.83203125,0.37383853335823675,1.0,213.0,0.3409996107608218,0.15321395003199126,87.29590035477038
4,256,2.0,9,48.0,4.0,70,0.2734375,0.7265625,0.6400054168471936,1.0,186.0,0.37992862533041516,0.3346668431508282,97.26172808458628
4,256,2.0,10,48.0,4.0,48,0.1875,0.8125,0.480071609241788,1.0,208.0,0.3518228202874282,0.20787710461953232,90.06664199358161
4,256,2.0,11,48.0,4.0,85,0.33203125,0.70703125,0.7578427023620651,1.0,181.0,0.4074066276293976,0.4366852803788775,104.29609667312579
4,256,2.0,12,48.0,4.0,130,0.5078125,0.8046875,1.561542675479524,1.0,206.0,0.5734280702402891,1.1127703648908198,146.797585981514
4,256,2.0,13,48.0,4.0,24,0.09375,0.90625,0.2914805954090255,1.0,232.0,0.2774812599246569,0.08924734108434268,71.03520254071216
4,256,2.0,14,48.0,4.0,93,0.36328125,0.75390625,1.0816222151060588,1.0,193.0,0.4544005363456153,0.6519241811134019,116.32653730447751
4,256,2.0,15,48.0,4.0,106,0.4140625,0.859375,1.4696639443678954,1.0,220.0,0.552987947025669,0.9456947751722466,141.56491443857126
4,512,0.0,0,0.0,0.0,22984,44.890625,2.41015625,43.137676288838115,1.0,1234.0,16.148159288612916,289.0244431466957,8267.857555769813
4,512,0.0,1,0.0,0.0,23570,46.03515625,0.36328125,45.238094723732544,1.0,186.0,2.4648346696737766,306.9369098048477,1261.9953508729736
4,512,0.0,2,0.0,0.0,21988,42.9453125,0.91015625,43.73736128129572,1.0,466.0,5.964497204539686,286.62262012289716,3053.8225687243194
4,512,0.0,3,0.0,0.0,23248,45.40625,-1.119140625,43.275772045527674,1.0,-573.0,-7.541235078050446,291.6101541568542,-3861.112359961828
4,512,0.0,4,0.0,0.0,22711,44.357421875,-1.986328125,47.819584938650756,1.0,-1017.0,-13.229216994511498,318.4849762628643,-6773.359101189887
4,512,0.0,5,0.0,0.0,22080,43.125,-3.755859375,44.4833730002596,1.0,-1923.0,-24.664588678527334,292.12065430029884,-12628.269403405995
