family,N,rep,log_H,pi_geo,sigma_hist,xi_dim,pi_cg,d_eff,n_layers,comp_frac,log_H_cg,pi_geo_cg,sigma_hist_cg,xi_dim_cg,pi_cg_cg,d_eff_cg
Lor4D,20,6,34.24665674946065,39.801292386350276,0.22499999999999998,0.0,0.11267780508883014,3.9948736842105266,3,0.16842105263157894,20.160362255762177,39.10364574868135,0.3214285714285714,0.0,0.06827057619596973,4.016389010989011
Lor4D,20,7,32.96957298893167,39.45024731111413,0.22499999999999998,0.0,0.14099380974875886,4.058031578947368,3,0.15789473684210525,19.89332258047799,39.922828887610144,0.3214285714285714,0.0,0.074775805441791,4.0823230769230765
Lor5D,20,0,34.55127822953975,54.364967825153435,0.15000000000000002,0.0,0.10042784051843716,4.310663157894737,2,0.11578947368421053,20.098966121302393,48.23387011558033,0.21428571428571427,0.0,0.1275790138808458,4.214191208791209
Lor5D,20,1,33.568710959929014,40.254285080040795,0.22499999999999998,0.0,0.0712506178766646,4.026452631578947,3,0.1631578947368421,19.979639714534386,40.568107266895204,0.3214285714285714,0.0,0.1109138796567714,4.0823230769230765
Lor5D,20,2,34.47618743322937,54.36521782515344,0.15000000000000002,0.0,0.06891066386450935,4.310663157894737,2,0.11578947368421053,20.500583048214814,51.48312825331681,0.21428571428571427,0.0,0.08279397201273297,4.2801252747252745
Lor5D,20,3,36.470189173133676,62.92999715687086,0.15000000000000002,0.0,0.15012570976033388,4.531715789473684,2,0.07894736842105263,22.167574439331464,68.166393547418,0.21428571428571427,0.0,0.16428699104733022,4.6757296703296705
Lor5D,20,4,37.19092253277717,67.59377291209269,0.15000000000000002,0.0,0.11051137522718972,4.626452631578948,2,0.06315789473684211,21.700523889556077,61.66260728547551,0.21428571428571427,0.0,0.14285467442915642,4.543861538461538
Lor5D,20,5,36.55477556255558,60.970419985589515,0.22499999999999998,0.0,0.05931383979738889,4.5632947368421055,3,0.07368421052631578,22.596293309021025,68.16712241039176,0.21428571428571427,0.0,0.1658784159507011,4.6757296703296705
Lor5D,20,6,36.41690510321043,53.932076578929305,0.22499999999999998,0.0,0.0971293808483953,4.342242105263158,3,0.11052631578947368,20.934850642601575,43.98523478524485,0.3214285714285714,0.0,0.05516445744135292,4.148257142857143
Lor5D,20,7,35.2160985979416,55.540582378477524,0.15000000000000002,0.0,0.147853370432344,4.342242105263158,2,0.11052631578947368,21.611562012308504,59.99944320301021,0.21428571428571427,0.0,0.07680519522254887,4.4779274725274725
KR_like,20,0,26.886372003428278,10.484026449845535,0.22499999999999998,4.7477854870166105,0.08574497607026617,2.826452631578947,3,0.3631578947368421,16.526646194212173,10.95648014535664,0.3214285714285714,0.0,0.1358183173388041,3.027378021978022
KR_like,20,1,27.747172735148514,10.83072252882537,0.22499999999999998,4.611165367349018,0.09960259409419599,2.8580315789473687,3,0.35789473684210527,15.708425250489952,6.261179430276041,0.3214285714285714,0.0,0.11151822647746286,2.829575824175824
KR_like,20,2,26.63681046158346,6.98669962615339,0.22499999999999998,6.705342887570627,0.11461582903300256,2.4159263157894735,3,0.43157894736842106,14.349528498708086,3.1679057852364405,0.3214285714285714,8.416340020806437,0.1394335650937135,2.104301098901099
KR_like,20,3,27.81523826353572,12.789646678316865,0.22499999999999998,3.833328305853174,0.0767703029848773,3.0475052631578947,3,0.3263157894736842,17.64436546426722,15.700322276827247,0.3214285714285714,0.0,0.2003477264630853,3.291114285714286
KR_like,20,4,27.600227778123365,8.034795065946962,0.22499999999999998,0.0,0.1097744493329072,2.8580315789473687,3,0.35789473684210527,17.32809959384945,15.519611114755351,0.3214285714285714,0.0,0.12122293103312014,3.2251802197802197
