d,N,hubble,rep,R_dS,R_hat,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,M1_mean_interval,M2_interval_entropy,M3_c1_ratio,M4_tail_weight,M5_log_interval_ratio,M6_weighted_depth_ratio,M7_norm_bd_shift,C0,C1,C2,C3,total_pairs
2,512,0.250000,7,0.125000,1.514157,61198,42.587886,-0.205078,-1.066406,0.961796,43.279535,4.749313,0.436219,0.932236,-0.256522,80.904933,-1.066406,2338,1809,1642,1464,61198
2,512,0.500000,0,0.500000,6.404293,54343,37.263859,1.701172,-0.753906,0.957750,37.907716,4.621780,0.445812,0.923762,-0.217606,72.191778,-0.753906,2296,1847,1579,1412,54343
2,512,0.500000,1,0.500000,10.563969,52917,35.909650,1.560547,-1.128906,0.955553,36.579965,4.586022,0.434479,0.921405,-0.263598,69.957069,-1.128906,2352,1807,1601,1499,52917
2,512,0.500000,2,0.500000,21.741671,54153,37.029618,2.296875,-0.906250,0.956568,37.710930,4.613160,0.442125,0.922147,-0.232541,71.546941,-0.906250,2352,1864,1590,1460,54153
2,512,0.500000,3,0.500000,-3.123808,54215,36.947409,-1.001953,-1.097656,0.955215,37.679664,4.615273,0.437833,0.920336,-0.249962,73.556497,-1.097656,2428,1891,1715,1478,54215
2,512,0.500000,4,0.500000,20.299937,54497,36.629423,1.792969,-0.945312,0.958273,37.224416,4.597632,0.438519,0.925684,-0.247177,69.065102,-0.945312,2274,1776,1576,1489,54497
2,512,0.500000,5,0.500000,6.425523,54908,37.980858,0.837891,-0.980469,0.957074,38.684363,4.642160,0.439743,0.923381,-0.242204,74.232129,-0.980469,2357,1850,1604,1411,54908
2,512,0.500000,6,0.500000,0.117987,55789,37.781557,2.771484,-0.613281,0.958253,38.427522,4.637363,0.451355,0.923910,-0.195199,72.981824,-0.613281,2329,1916,1592,1433,55789
2,512,0.500000,7,0.500000,6.455393,54717,37.807860,0.041016,-1.167969,0.957070,38.503756,4.637429,0.433020,0.924283,-0.269542,74.486109,-1.167969,2349,1794,1610,1434,54717
2,512,1.000000,0,2.000000,120.901770,42367,27.900342,2.541016,-0.386719,0.948946,28.401397,4.338005,0.455301,0.906271,-0.179275,53.963779,-0.386719,2163,1808,1502,1339,42367
2,512,1.000000,1,2.000000,71.695350,42549,27.553744,3.482422,-1.066406,0.946133,28.122494,4.330799,0.434772,0.904698,-0.262408,53.749597,-1.066406,2292,1763,1498,1458,42549
2,512,1.000000,2,2.000000,123.810435,42691,27.260376,1.000000,-0.843750,0.947179,27.780609,4.314297,0.441555,0.905413,-0.234853,51.985018,-0.843750,2255,1783,1525,1326,42691
2,512,1.000000,3,2.000000,173.970125,41098,26.991322,3.447266,-0.855469,0.945277,27.553871,4.310326,0.440964,0.902112,-0.237249,53.129153,-0.855469,2249,1774,1466,1374,41098
2,512,1.000000,4,2.000000,148.608872,41651,28.422627,1.679688,-0.765625,0.945475,29.061727,4.358969,0.444743,0.901803,-0.221933,57.754604,-0.765625,2271,1819,1539,1359,41651
2,512,1.000000,5,2.000000,150.585556,42347,27.834432,1.572266,-0.855469,0.947977,28.361915,4.334976,0.439583,0.907172,-0.242855,53.549425,-0.855469,2203,1728,1535,1438,42347
2,512,1.000000,6,2.000000,97.885044,42008,28.562991,2.529297,-1.066406,0.945653,29.204509,4.371377,0.434481,0.903899,-0.263591,58.794710,-1.066406,2283,1754,1506,1422,42008
2,512,1.000000,7,2.000000,77.019005,42967,28.393997,2.558594,-0.882812,0.947890,28.954942,4.358879,0.439690,0.906998,-0.242422,55.309514,-0.882812,2239,1757,1499,1401,42967
2,512,2.000000,0,8.000000,1545.231993,22110,14.102019,2.369141,-1.167969,0.907689,14.536183,3.680357,0.421321,0.840479,-0.317352,27.743185,-1.167969,2041,1486,1197,1065,22110
2,512,2.000000,1,8.000000,1608.094217,23092,14.727979,1.738281,-0.460938,0.917677,15.049195,3.717292,0.445449,0.851550,-0.219075,28.456883,-0.460938,1901,1527,1258,1083,23092
2,512,2.000000,2,8.000000,2530.308853,21703,14.278435,1.330078,-0.714844,0.913053,14.638115,3.688149,0.434183,0.846335,-0.264805,28.107913,-0.714844,1887,1448,1234,1096,21703
2,512,2.000000,3,8.000000,1608.336281,24270,15.072725,1.298828,-0.808594,0.920560,15.373424,3.738045,0.431771,0.860198,-0.274628,28.588999,-0.808594,1928,1465,1270,1152,24270
2,512,2.000000,4,8.000000,1801.398621,21445,13.477561,2.742188,-1.015625,0.907717,13.847750,3.635065,0.425044,0.839496,-0.302103,26.239850,-1.015625,1979,1463,1183,1079,21445
2,512,2.000000,5,8.000000,1952.628479,23483,14.741963,1.720703,-0.652344,0.919090,15.039731,3.716314,0.437370,0.856194,-0.251841,27.962093,-0.652344,1900,1477,1244,1110,23483
