family,N,rep,seed,log_H,pi_geo,sigma_hist,xi_dim,R,wall,F7,bd_ratio,bdg_d2c,bdg_d4s
KR_like,28,2,404828,45.02637812775214,10.902615957063897,0.1607142857142857,5.297276487816297,0.33793103448275863,13.484101079801187,60.08606328948307,0.699167657550535,-5.428571428571429,-1.6428571428571428
KR_like,28,3,404829,45.11750547892295,11.300027880773394,0.1607142857142857,4.867950344203299,0.3453237410071942,13.499004361636207,59.93465720109059,0.7130065731587392,-5.071428571428571,-1.4642857142857142
KR_like,28,4,404830,45.09161413135118,12.559902642941786,0.1607142857142857,4.72887287179211,0.3284671532846716,13.450542553406184,59.777361511746946,0.6569343065693432,-5.285714285714286,-5.285714285714286
KR_like,28,5,404831,45.16279416462827,10.603126481721647,0.1607142857142857,5.4444164444804475,0.33333333333333337,13.470392613564877,60.29693503833125,0.7210884353741498,-5.428571428571429,-2.5
KR_like,28,6,404832,44.38963842035985,10.783289284056101,0.1607142857142857,5.370594513515469,0.3356164383561644,13.477720792449519,59.48688637948942,0.7332989303809345,-5.642857142857143,-1.1785714285714286
KR_like,28,7,404833,43.66860539915995,8.779004520085477,0.1607142857142857,6.449956926213878,0.30625,13.2117573245854,59.14670562413886,0.7292578125000001,-6.857142857142857,-3.5
KR_like,28,8,404834,44.67079272649489,10.189687037514512,0.1607142857142857,5.518742280711236,0.33108108108108103,13.461993665398648,59.840964777992426,0.7247991234477721,-5.928571428571429,-7.321428571428571
KR_like,28,9,404835,45.17174124574169,14.124020628788571,0.1607142857142857,4.192719192779764,0.3565891472868217,13.51138582430853,59.59726533682674,0.6938284958836607,-4.285714285714286,-5.928571428571429
Lor2D,36,0,5626,50.07748059062764,0.48097500275300065,0.29166666666666663,1.037296728215096,0.7312925170068028,11.925695879997763,59.709080230888894,2.7933384238048964,0.1111111111111111,3.888888888888889
Lor2D,36,1,5627,44.565761317664915,2.1897419773883953,0.4166666666666667,0.6522000110370397,0.7576601671309192,11.925695879997763,52.71698643440919,3.7671960956230945,-1.1666666666666667,-3.1944444444444446
Lor2D,36,2,5628,48.881058589860395,0.3898372520213482,0.375,1.5157657124258572,0.7180327868852459,11.925695879997763,57.96636983221448,3.022800322493953,-1.1666666666666667,0.5833333333333334
Lor2D,36,3,5629,48.013203465106386,0.5771967502388429,0.375,0.708206150402136,0.7323076923076923,11.925695879997763,56.61405391404552,3.366362130177515,-1.0,0.0
