family,N,rep,seed,log_H,f5_calibrated,C0,C1,C2,C3,total_relations,link_fraction,mean_k,s_bd_exact,bd_ratio_stored,abs_diff
Lor2D,36,5,8642,47.73668448476168,95.22261168699809,83,55,33,34,315,0.26349206349206344,3.250793650793651,3.13074326026707,3.13074326026707,0.0
Lor2D,36,6,9642,46.271358074321014,92.25996296179395,78,53,37,34,325,0.24,3.252307692307692,3.231753846153846,3.231753846153846,0.0
Lor2D,36,7,10642,49.83952300737865,99.46332504973299,82,84,59,19,329,0.2492401215805471,2.9939209726443767,2.9984756238393953,2.9984756238393953,0.0
Lor3D,36,0,3642,66.62857623533526,139.4040462488408,118,38,16,9,190,0.6210526315789474,0.7578947368421053,0.6661495844875346,0.6661495844875346,0.0
Lor3D,36,1,4642,67.23905501964377,145.25908912194095,97,28,16,7,152,0.6381578947368421,0.6578947368421053,0.5998961218836565,0.5998961218836565,0.0
Lor3D,36,2,5642,63.174836088923016,131.06089956665417,99,55,19,4,205,0.48292682926829267,1.2439024390243902,1.160261748958953,1.160261748958953,0.0
Lor3D,36,3,6642,63.83715424491707,130.8474316251841,114,52,27,19,224,0.5089285714285714,1.0267857142857142,0.9952965561224492,0.9952965561224492,0.0
Lor3D,36,4,7642,65.94039249329992,140.50203822647745,107,29,22,12,174,0.6149425287356322,0.7298850574712644,0.6661051658079008,0.6661051658079008,0.0
Lor3D,36,5,8642,66.6512352255257,142.38692594237423,103,28,25,7,170,0.6058823529411764,0.7705882352941177,0.6978200692041523,0.6978200692041523,0.0
Lor3D,36,6,9642,58.93411592037106,121.08622531362603,99,49,38,13,222,0.44594594594594594,1.2297297297297298,1.235390796201607,1.235390796201607,0.0
Lor3D,36,7,10642,65.14803503555567,136.15050821459357,152,26,11,12,223,0.6816143497757847,1.0134529147982063,0.6410545154738684,0.6410545154738684,0.0
Lor4D,36,0,3642,73.29332027759845,162.87281553497652,109,14,4,1,128,0.8515625,0.1953125,0.17742919921875,0.17742919921875,0.0
Lor4D,36,1,4642,76.25987123730775,176.3027053886442,89,4,1,0,95,0.9368421052631579,0.10526315789473684,0.06980609418282545,0.06980609418282545,0.0
Lor4D,36,2,5642,73.80199657357142,161.31162806285863,95,26,7,2,132,0.7196969696969697,0.4090909090909091,0.3949724517906336,0.3949724517906336,0.0
Lor4D,36,3,6642,72.20240042860951,157.64918640921135,127,15,3,2,147,0.8639455782312925,0.1836734693877551,0.16104400944051095,0.16104400944051095,0.0
Lor4D,36,4,7642,75.87138735929554,172.61792174536833,105,4,0,0,109,0.963302752293578,0.03669724770642202,0.03804393569564852,0.03804393569564852,0.0
Lor4D,36,5,8642,74.77194727241397,171.48406756207876,84,12,0,1,98,0.8571428571428571,0.19387755102040816,0.17055393586005835,0.17055393586005835,0.0
Lor4D,36,6,9642,73.0540651066681,159.98488542466444,118,16,6,0,140,0.8428571428571429,0.2,0.18857142857142856,0.18857142857142856,0.0
Lor4D,36,7,10642,72.42256237825342,160.12241257793727,127,11,5,3,151,0.8410596026490066,0.36423841059602646,0.21683259506162014,0.21683259506162014,0.0
Lor5D,36,0,3642,78.24591685703281,181.23962373421992,81,3,0,0,84,0.9642857142857143,0.03571428571428571,0.03698979591836733,0.03698979591836733,0.0
Lor5D,36,1,4642,82.21117830811652,194.86289498020082,55,2,0,0,57,0.9649122807017544,0.03508771929824561,0.03631886734379809,0.03631886734379809,0.0
Lor5D,36,2,5642,78.73916324001472,178.86622873159064,76,13,2,0,91,0.8351648351648352,0.18681318681318682,0.19562854727689888,0.19562854727689888,0.0
Lor5D,36,3,6642,75.95328533962913,173.49581988213126,99,5,1,1,106,0.9339622641509434,0.09433962264150944,0.07226771092915626,0.07226771092915626,0.0
