d,N,hubble,rep,R_dS,log_H,log_H_std,n_causal,order_frac,log_H_per_N,log_H_per_NlogN
3,32,2.0,3,24.0,77.615490455679,3.018782933222676,8,0.016129032258064516,2.4254840767399686,0.6998467698535797
3,32,2.0,4,24.0,75.6846282705596,2.8408520965597237,12,0.024193548387096774,2.3651446334549875,0.6824364867341312
3,48,0.0,0,0.0,96.06207626933968,5.115943692968445,325,0.28812056737588654,2.0012932556112433,0.516969604516065
3,48,0.0,1,0.0,99.955191332257,4.752953509485653,294,0.26063829787234044,2.082399819422021,0.537920870953081
3,48,0.0,2,0.0,99.8404379706354,5.397952511070896,235,0.20833333333333334,2.0800091243882375,0.5373033119508368
3,48,0.0,3,0.0,94.25211493321444,3.984587876486746,358,0.3173758865248227,1.9635857277753008,0.5072290801336591
3,48,0.0,4,0.0,98.75837365852067,5.147132792632028,303,0.26861702127659576,2.057466117885847,0.5314800528540162
3,48,0.2,0,0.24000000000000005,107.00732339444913,6.468914317183879,248,0.2198581560283688,2.229319237384357,0.5758727669017443
3,48,0.2,1,0.24000000000000005,98.39292953986967,5.419164494118464,270,0.2393617021276596,2.049852698747285,0.5295133714243746
3,48,0.2,2,0.24000000000000005,95.83523108122925,5.342293459443014,274,0.2429078014184397,1.9965673141922762,0.515748809882655
3,48,0.2,3,0.24000000000000005,102.49023510386553,4.574516903930114,264,0.23404255319148937,2.135213231330532,0.5515635135747632
3,48,0.2,4,0.24000000000000005,97.94898285872152,4.565940738000904,260,0.23049645390070922,2.0406038095566985,0.5271242190232139
3,48,0.5,0,1.5,100.54250492994207,5.4475485044189655,276,0.24468085106382978,2.094635519373793,0.5410815696399475
3,48,0.5,1,1.5,102.21573901851997,5.254444953768589,192,0.1702127659574468,2.129494562885833,0.550086279913017
3,48,0.5,2,1.5,100.85087024743733,5.515669064450591,219,0.19414893617021275,2.101059796821611,0.5427410746436184
3,48,0.5,3,1.5,103.37822002561852,6.238578412410179,182,0.16134751773049646,2.153712917200386,0.556342311115301
3,48,0.5,4,1.5,101.91832325342666,4.823654620273158,205,0.18173758865248227,2.1232984011130553,0.5484857012410963
3,48,1.0,0,6.0,111.303665370897,7.053698295676014,107,0.09485815602836879,2.3188263618936875,0.5989940474183401
3,48,1.0,1,6.0,112.02231637164888,6.248015970623731,131,0.11613475177304965,2.3337982577426852,0.6028615541189251
3,48,1.0,2,6.0,113.93209910819716,6.1476251206344426,102,0.09042553191489362,2.373585398087441,0.6131392793604321
3,48,1.0,3,6.0,112.27622396788053,6.411726518000679,143,0.12677304964539007,2.3390879993308444,0.6042279883529662
3,48,1.0,4,6.0,114.23097013469359,6.224467499472055,93,0.08244680851063829,2.3798118778061164,0.6147476896964316
3,48,2.0,0,24.0,136.91850298012315,2.7708625205624493,7,0.0062056737588652485,2.852468812085899,0.7368433734255834
3,48,2.0,1,24.0,131.12967922439645,5.651705117882841,23,0.020390070921985817,2.7318683171749263,0.7056901229043222
3,48,2.0,2,24.0,130.46167429845224,4.170496314647972,22,0.01950354609929078,2.7179515478844216,0.7020951741400262
3,48,2.0,3,24.0,133.40763764646897,3.670139828537088,13,0.01152482269503546,2.7793257843014367,0.7179492298307747
3,48,2.0,4,24.0,125.22497104810478,5.206717943265391,35,0.03102836879432624,2.608853563502183,0.6739132264512255
3,64,0.0,0,0.0,141.81133405156095,6.1523521340791705,490,0.24305555555555555,2.21580209455564,0.5327877822344667
