d,N,hubble,rep,R_dS,R_occupancy,sigma_val,wall_val,alpha_N,R_hat,n_causal_pairs,n_links
3,128,0.0,4,0.0,0.7022900763358779,0.9999999999999196,6.324555320336251,6.324555320336759,-33.095754708610926,2620,780
3,128,0.25,0,0.375,0.6777932313398238,0.9999999999995888,6.3245553203341585,6.324555320336759,18.459867085941976,2157,695
3,128,0.25,1,0.375,0.620845921450151,0.9999999999816807,6.324555320220897,6.324555320336759,-36.06899794907542,1986,753
3,128,0.25,2,0.375,0.6199677938808373,0.9999999999805762,6.324555320213912,6.324555320336759,37.60074046416105,1863,708
3,128,0.25,3,0.375,0.5853260869565218,0.999999999804424,6.324555319099828,6.324555320336759,28.24439144644692,1840,763
3,128,0.25,4,0.375,0.6120331950207469,0.9999999999670341,6.3245553201282645,6.324555320336759,-5.24988409480667,1928,748
3,128,0.5,0,1.5,0.6240995415848067,0.9999999999852529,6.3245553202434905,6.324555320336759,-8.580464163326821,1527,574
3,128,0.5,1,1.5,0.5616526791478373,0.9999999990521693,6.324555314342152,6.324555320336759,-36.67403303200972,1549,679
3,128,0.5,2,1.5,0.6100244498777506,0.9999999999623101,6.324555320098387,6.324555320336759,-29.048800591656182,1636,638
3,128,0.5,3,1.5,0.5818527918781726,0.9999999997534657,6.324555318777539,6.324555320336759,-12.110888981590517,1576,659
3,128,0.5,4,1.5,0.5552367288378766,0.999999998546244,6.324555311142399,6.324555320336759,-9.606410780260493,1394,620
3,128,1.0,0,6.0,0.45701849836779107,0.9999989856212876,6.324548904842477,6.324555320336759,16.169347833598145,919,499
3,128,1.0,1,6.0,0.42258064516129035,0.999989924324647,6.324491596170599,6.324555320336759,56.641413855937415,620,358
3,128,1.0,2,6.0,0.3376413570274637,0.99710755689656,6.306261903918126,6.324555320336759,80.6529462749855,619,410
3,128,1.0,3,6.0,0.48221343873517786,0.9999998108822699,6.324554124251213,6.324555320336759,5.497972075472394,1012,524
3,128,1.0,4,6.0,0.4792773645058448,0.9999997699934072,6.3245538656473395,6.324555320336759,-90.52335314197401,941,490
3,128,2.0,0,24.0,0.24305555555555558,0.3862831624923707,2.443069230497632,6.324555320336759,105.91072119917658,288,218
3,128,2.0,1,24.0,0.15458937198067635,0.0017251605076192829,0.0109108730668984,6.324555320336759,-143.69741572846172,207,175
3,128,2.0,2,24.0,0.135,0.0004679567256329358,0.002959618198789153,6.324555320336759,-433.12252589632857,200,173
3,128,2.0,3,24.0,0.21212121212121215,0.07410673632504745,0.46869215349737225,6.324555320336759,581.664869132638,165,130
3,128,2.0,4,24.0,0.1875,0.015267153880374444,0.09655795930052219,6.324555320336759,203.37318352295816,192,156
3,256,0.0,0,0.0,0.77647314633616,0.9999999999999993,4.472135954999577,4.47213595499958,25.090946637181492,9198,2056
3,256,0.0,1,0.0,0.7781115879828326,0.9999999999999996,4.472135954999578,4.47213595499958,18.609218857684404,9320,2068
3,256,0.0,2,0.0,0.7633007600434311,0.9999999999999987,4.472135954999573,4.47213595499958,-7.144374481792528,9210,2180
3,256,0.0,3,0.0,0.7769716088328076,0.9999999999999996,4.472135954999578,4.47213595499958,-6.117723595970894,9510,2121
3,256,0.0,4,0.0,0.7488814317673378,0.9999999999999964,4.472135954999564,4.47213595499958,-32.206182435297336,8940,2245
3,256,0.25,0,0.375,0.7336122733612274,0.99999999999999,4.472135954999535,4.47213595499958,9.260070620587054,7887,2101
3,256,0.25,1,0.375,0.7272727272727273,0.9999999999999849,4.472135954999512,4.47213595499958,1.1077974103543118,7546,2058
