scope,alpha,focus_family,control_family,win_rate_focus_vs_control,mean_score_focus,mean_score_control,mean_gap_control_minus_focus
16,5.0,Lor4D,KR_like,1.0,-71.06305944316412,-39.003664214092666,32.059395229071455
16,5.25,Lor4D,KR_like,1.0,-71.04497194251621,-38.870043991800685,32.17492795071553
16,5.5,Lor4D,KR_like,1.0,-71.0268844418683,-38.73642376950871,32.2904606723596
16,5.75,Lor4D,KR_like,1.0,-71.00879694122041,-38.60280354721674,32.40599339400367
16,6.0,Lor4D,KR_like,1.0,-70.9907094405725,-38.46918332492477,32.521526115647745
16,6.25,Lor4D,KR_like,1.0,-70.97262193992461,-38.3355631026328,32.63705883729181
16,6.5,Lor4D,KR_like,1.0,-70.9545344392767,-38.20194288034082,32.75259155893588
16,6.75,Lor4D,KR_like,1.0,-70.93644693862879,-38.06832265804886,32.868124280579956
16,7.0,Lor4D,KR_like,1.0,-70.9183594379809,-37.934702435756876,32.98365700222402
16,7.25,Lor4D,KR_like,1.0,-70.900271937333,-37.80108221346491,33.09918972386809
16,7.5,Lor4D,KR_like,1.0,-70.8821844366851,-37.66746199117293,33.214722445512166
16,7.75,Lor4D,KR_like,1.0,-70.86409693603719,-37.533841768880954,33.33025516715624
16,8.0,Lor4D,KR_like,1.0,-70.84600943538928,-37.40022154658899,33.445787888800304
16,8.25,Lor4D,KR_like,1.0,-70.82792193474138,-37.266601324297014,33.561320610444376
16,8.5,Lor4D,KR_like,1.0,-70.80983443409349,-37.13298110200504,33.67685333208845
16,8.75,Lor4D,KR_like,1.0,-70.79174693344558,-36.999360879713066,33.79238605373252
16,9.0,Lor4D,KR_like,1.0,-70.77365943279767,-36.8657406574211,33.907918775376594
16,9.25,Lor4D,KR_like,1.0,-70.75557193214976,-36.73212043512912,34.02345149702066
16,9.5,Lor4D,KR_like,1.0,-70.73748443150188,-36.59850021283715,34.13898421866473
16,9.75,Lor4D,KR_like,1.0,-70.71939693085397,-36.46487999054518,34.254516940308804
16,10.0,Lor4D,KR_like,1.0,-70.70130943020607,-36.331259768253204,34.370049661952876
20,-10.0,Lor4D,KR_like,1.0,-87.00461986295858,-64.94897462768306,22.05564523527552
20,-9.75,Lor4D,KR_like,1.0,-86.97183305994028,-64.7993489840637,22.172484075876582
20,-9.5,Lor4D,KR_like,1.0,-86.93904625692198,-64.64972334044433,22.28932291647765
20,-9.25,Lor4D,KR_like,1.0,-86.90625945390369,-64.50009769682495,22.406161757078717
20,-9.0,Lor4D,KR_like,1.0,-86.87347265088536,-64.35047205320558,22.523000597679786
20,-8.75,Lor4D,KR_like,1.0,-86.84068584786708,-64.20084640958623,22.639839438280852
20,-8.5,Lor4D,KR_like,1.0,-86.80789904484877,-64.05122076596686,22.756678278881914
20,-8.25,Lor4D,KR_like,1.0,-86.77511224183047,-63.901595122347494,22.873517119482983
20,-8.0,Lor4D,KR_like,1.0,-86.74232543881217,-63.75196947872813,22.990355960084052
20,-7.75,Lor4D,KR_like,1.0,-86.70953863579388,-63.60234383510877,23.10719480068511
20,-7.5,Lor4D,KR_like,1.0,-86.67675183277558,-63.452718191489396,23.22403364128618
20,-7.25,Lor4D,KR_like,1.0,-86.64396502975728,-63.30309254787003,23.340872481887246
20,-7.0,Lor4D,KR_like,1.0,-86.61117822673899,-63.153466904250664,23.457711322488308
20,-6.75,Lor4D,KR_like,1.0,-86.57839142372069,-63.00384126063129,23.574550163089377
20,-6.5,Lor4D,KR_like,1.0,-86.54560462070238,-62.85421561701193,23.691389003690443
20,-6.25,Lor4D,KR_like,1.0,-86.51281781768407,-62.704589973392565,23.80822784429151
20,-6.0,Lor4D,KR_like,1.0,-86.48003101466577,-62.5549643297732,23.925066684892577
20,-5.75,Lor4D,KR_like,1.0,-86.44724421164747,-62.40533868615383,24.041905525493647
20,-5.5,Lor4D,KR_like,1.0,-86.41445740862918,-62.25571304253447,24.158744366094705
20,-5.25,Lor4D,KR_like,1.0,-86.38167060561088,-62.1060873989151,24.275583206695774
20,-5.0,Lor4D,KR_like,1.0,-86.34888380259258,-61.956461755295734,24.39242204729684
20,-4.75,Lor4D,KR_like,1.0,-86.31609699957428,-61.806836111676375,24.509260887897906
20,-4.5,Lor4D,KR_like,1.0,-86.28331019655597,-61.657210468057,24.62609972849897
20,-4.25,Lor4D,KR_like,1.0,-86.25052339353768,-61.50758482443764,24.742938569100037
20,-4.0,Lor4D,KR_like,1.0,-86.21773659051937,-61.35795918081827,24.859777409701103
20,-3.75,Lor4D,KR_like,1.0,-86.18494978750108,-61.208333537198904,24.976616250302172
20,-3.5,Lor4D,KR_like,1.0,-86.15216298448277,-61.05870789357954,25.093455090903237
20,-3.25,Lor4D,KR_like,1.0,-86.11937618146447,-60.90908224996018,25.210293931504296
20,-3.0,Lor4D,KR_like,1.0,-86.08658937844618,-60.759456606340805,25.32713277210537
20,-2.75,Lor4D,KR_like,1.0,-86.05380257542788,-60.609830962721446,25.443971612706434
20,-2.5,Lor4D,KR_like,1.0,-86.02101577240957,-60.46020531910207,25.5608104533075
20,-2.25,Lor4D,KR_like,1.0,-85.98822896939129,-60.310579675482714,25.677649293908566
20,-2.0,Lor4D,KR_like,1.0,-85.95544216637299,-60.16095403186335,25.79448813450963
20,-1.75,Lor4D,KR_like,1.0,-85.92265536335468,-60.01132838824398,25.911326975110697
20,-1.5,Lor4D,KR_like,1.0,-85.88986856033637,-59.86170274462461,26.028165815711766
20,-1.25,Lor4D,KR_like,1.0,-85.85708175731807,-59.71207710100525,26.145004656312828
20,-1.0,Lor4D,KR_like,1.0,-85.82429495429977,-59.56245145738588,26.261843496913894
20,-0.75,Lor4D,KR_like,1.0,-85.79150815128148,-59.41282581376652,26.37868233751496
20,-0.5,Lor4D,KR_like,1.0,-85.75872134826318,-59.263200170147144,26.49552117811603
20,-0.25,Lor4D,KR_like,1.0,-85.72593454524488,-59.113574526527785,26.61236001871709
20,0.0,Lor4D,KR_like,1.0,-85.69314774222659,-58.96394888290842,26.72919885931816
20,0.25,Lor4D,KR_like,1.0,-85.66036093920829,-58.81432323928905,26.84603769991923
20,0.5,Lor4D,KR_like,1.0,-85.62757413618998,-58.664697595669686,26.96287654052029
20,0.75,Lor4D,KR_like,1.0,-85.5947873331717,-58.51507195205032,27.07971538112136
20,1.0,Lor4D,KR_like,1.0,-85.56200053015337,-58.365446308430954,27.196554221722426
20,1.25,Lor4D,KR_like,1.0,-85.52921372713507,-58.21582066481159,27.313393062323488
20,1.5,Lor4D,KR_like,1.0,-85.49642692411678,-58.06619502119223,27.430231902924554
20,1.75,Lor4D,KR_like,1.0,-85.46364012109848,-57.916569377572856,27.547070743525623
20,2.0,Lor4D,KR_like,1.0,-85.43085331808018,-57.76694373395349,27.66390958412669
20,2.25,Lor4D,KR_like,1.0,-85.39806651506188,-57.61731809033412,27.780748424727754
20,2.5,Lor4D,KR_like,1.0,-85.36527971204357,-57.46769244671476,27.897587265328823
20,2.75,Lor4D,KR_like,1.0,-85.33249290902528,-57.31806680309539,28.014426105929886
20,3.0,Lor4D,KR_like,1.0,-85.29970610600697,-57.16844115947603,28.131264946530955
20,3.25,Lor4D,KR_like,1.0,-85.26691930298867,-57.01881551585666,28.24810378713202
20,3.5,Lor4D,KR_like,1.0,-85.23413249997037,-56.86918987223729,28.364942627733083
20,3.75,Lor4D,KR_like,1.0,-85.20134569695207,-56.71956422861793,28.481781468334148
20,4.0,Lor4D,KR_like,1.0,-85.16855889393378,-56.56993858499857,28.598620308935217
20,4.25,Lor4D,KR_like,1.0,-85.13577209091548,-56.420312941379194,28.715459149536287
20,4.5,Lor4D,KR_like,1.0,-85.10298528789717,-56.270687297759835,28.83229799013735
20,4.75,Lor4D,KR_like,1.0,-85.07019848487887,-56.12106165414046,28.94913683073841
