d,N,H,H_sq,rep,n_causal_pairs,C_0,C_1,C_2,N_2,N_3,N_4,N_5,longest_chain,longest_chain_ratio,N3_over_N2,N4_over_N3,N5_over_N4,N4_over_N2sq,chain_entropy,N2_per_N,N3_per_N,N4_per_N
2,128,1.0,1.0,2,2598,367,272,221,2598.0,18834.0,72225.0,172650.0,15.0,0.1171875,7.249422632794457,3.834820006371456,2.3904465212876427,0.010700627770162516,0.8673707726798148,20.296875,147.140625,564.2578125
2,128,1.0,1.0,3,2409,389,276,217,2409.0,16085.0,53730.0,105892.0,13.0,0.1015625,6.677044416770444,3.340379235312403,1.9708170482039828,0.009258555634304113,0.9460268817536123,18.8203125,125.6640625,419.765625
2,128,1.0,1.0,4,2605,391,296,215,2605.0,18620.0,66400.0,137899.0,11.0,0.0859375,7.1477927063339735,3.5660580021482278,2.076792168674699,0.009784815116360462,0.9182400447521846,20.3515625,145.46875,518.75
2,128,1.0,1.0,5,2757,384,253,218,2757.0,19188.0,65019.0,128493.0,13.0,0.1015625,6.959738846572361,3.388524077548468,1.9762377151294237,0.008553950908618008,0.9409620787653852,21.5390625,149.90625,507.9609375
2,128,1.0,1.0,6,2944,409,297,238,2944.0,23932.0,98483.0,246043.0,16.0,0.125,8.129076086956522,4.115117833862611,2.4983296609567134,0.011362807737181001,0.8398084652175956,23.0,186.96875,769.3984375
2,128,1.0,1.0,7,2537,394,280,232,2537.0,16222.0,50064.0,88045.0,12.0,0.09375,6.394166338194718,3.0861792627296265,1.758648929370406,0.00777829860283026,0.9900117368080665,19.8203125,126.734375,391.125
2,128,1.5,2.25,0,2019,383,266,206,2019.0,10317.0,25249.0,35162.0,10.0,0.078125,5.109955423476968,2.4473199573519433,1.3926096083013189,0.006194004897996031,1.0951659955440156,15.7734375,80.6015625,197.2578125
2,128,1.5,2.25,1,1797,339,262,190,1797.0,8120.0,17122.0,19797.0,11.0,0.0859375,4.518642181413467,2.1086206896551722,1.156231748627497,0.005302227263704517,1.1607592962359967,14.0390625,63.4375,133.765625
2,128,1.5,2.25,2,1943,344,246,200,1943.0,10179.0,25963.0,36760.0,11.0,0.0859375,5.2388059701492535,2.5506434816779646,1.4158610330085122,0.006877162274594338,1.0826005418614555,15.1796875,79.5234375,202.8359375
2,128,1.5,2.25,3,1810,361,275,185,1810.0,8716.0,20716.0,29526.0,11.0,0.0859375,4.815469613259668,2.3767783386874712,1.4252751496427882,0.0063233723024327705,1.1007568234421523,14.140625,68.09375,161.84375
2,128,1.5,2.25,4,2063,382,253,197,2063.0,11181.0,30309.0,52448.0,14.0,0.109375,5.419777023751818,2.710759323852965,1.7304431027087663,0.007121527435937621,1.027212901875399,16.1171875,87.3515625,236.7890625
2,128,1.5,2.25,5,1937,369,276,193,1937.0,9616.0,21136.0,24133.0,10.0,0.078125,4.96437790397522,2.1980033277870215,1.1417959878879638,0.005633308803990651,1.1473720486458443,15.1328125,75.125,165.125
2,128,1.5,2.25,6,2034,359,248,211,2034.0,11257.0,29943.0,43645.0,11.0,0.0859375,5.53441494591937,2.6599449231589234,1.4576027786126975,0.007237580598846164,1.0656543095019173,15.890625,87.9453125,233.9296875
2,128,1.5,2.25,7,1889,350,243,212,1889.0,9383.0,22428.0,30264.0,11.0,0.0859375,4.967178401270513,2.390280294148993,1.3493846976993045,0.006285308973043625,1.10713349596472,14.7578125,73.3046875,175.21875
2,128,2.0,4.0,0,1556,342,236,157,1556.0,6522.0,13728.0,17780.0,11.0,0.0859375,4.191516709511568,2.104875804967801,1.29516317016317,0.005670065622088143,1.1510752866087812,12.15625,50.953125,107.25
2,128,2.0,4.0,1,1696,317,227,189,1696.0,7521.0,16614.0,22221.0,11.0,0.0859375,4.434551886792453,2.209014758675708,1.337486457204767,0.005775937833748665,1.1321553932406094,13.25,58.7578125,129.796875
2,128,2.0,4.0,2,1424,341,220,168,1424.0,5200.0,9209.0,9111.0,9.0,0.0703125,3.651685393258427,1.7709615384615385,0.9893582365077641,0.004541428639060725,1.2260700514336809,11.125,40.625,71.9453125
2,128,2.0,4.0,3,1415,306,240,161,1415.0,5139.0,8987.0,8764.0,9.0,0.0703125,3.6318021201413426,1.7487838100797821,0.9751863803271392,0.004488506536478168,1.2297658735393093,11.0546875,40.1484375,70.2109375
2,128,2.0,4.0,4,1283,321,210,168,1283.0,4171.0,6494.0,5790.0,9.0,0.0703125,3.250974279033515,1.5569407815871494,0.8915922389898367,0.003945108678813843,1.2636867383797026,10.0234375,32.5859375,50.734375
2,128,2.0,4.0,5,1496,333,208,183,1496.0,5805.0,10814.0,11842.0,11.0,0.0859375,3.8803475935828877,1.862876830318691,1.0950619567227668,0.004831958305928107,1.202357446157282,11.6875,45.3515625,84.484375
2,128,2.0,4.0,6,1484,305,221,198,1484.0,5343.0,9085.0,8725.0,10.0,0.078125,3.6004043126684637,1.7003556054650946,0.9603742432581178,0.004125315131392536,1.236203671729581,11.59375,41.7421875,70.9765625
2,128,2.0,4.0,7,1400,325,206,165,1400.0,4966.0,8903.0,10361.0,13.0,0.1015625,3.547142857142857,1.792790978654853,1.1637650230259464,0.0045423469387755105,1.21022534826636,10.9375,38.796875,69.5546875
2,256,0.0,0.0,0,16221,1017,802,633,16221.0,368462.0,4096679.0,26759902.0,25.0,0.09765625,22.715122372233523,11.118321563689065,6.532096363908424,0.01556957246119474,0.45531925131540374,63.36328125,1439.3046875,16002.65234375
2,256,0.0,0.0,1,16492,985,773,686,16492.0,397721.0,4833451.0,35008898.0,26.0,0.1015625,24.115995634246907,12.152868468096983,7.243043945206024,0.017770950941074688,0.4247822629712908,64.421875,1553.59765625,18880.66796875
2,256,0.0,0.0,2,17232,1009,790,716,17232.0,441138.0,5668005.0,43044957.0,23.0,0.08984375,25.599930362116993,12.848598397780286,7.594375269605443,0.01908793083994796,0.4106026788649658,67.3125,1723.1953125,22140.64453125
