d,N,hubble,rep,seed,R_dS,R_hat,flat_prefactor,flat_r2,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,f_link,wall_sigma
2,512,2.000000,0,20972523,8.000000,1207.275083,0.680961,0.395708,25229,16.138031,0.802734,-0.644531,0.921400,0.078600,1.000000
2,512,2.000000,1,20972533,8.000000,1872.760007,0.650608,0.270420,23108,15.102725,5.021484,-0.457031,0.918859,0.081141,1.000000
2,512,2.000000,2,20972543,8.000000,1416.578686,0.675001,0.359839,24551,15.676751,2.660156,-0.898438,0.917396,0.082604,1.000000
2,512,2.000000,3,20972553,8.000000,1881.844140,0.857278,0.414849,21864,13.740933,1.033203,-1.246094,0.904912,0.095088,1.000000
2,512,2.000000,4,20972563,8.000000,1985.993562,0.679962,0.364262,22893,14.401503,1.505859,-0.832031,0.916088,0.083912,1.000000
2,512,2.000000,5,20972573,8.000000,1094.452547,0.651528,0.384114,25737,16.270676,2.458984,-0.863281,0.919649,0.080351,1.000000
2,512,2.000000,6,20972583,8.000000,1575.189166,0.751327,0.379430,23843,15.045075,0.300781,-0.960938,0.916118,0.083882,1.000000
2,512,2.000000,7,20972593,8.000000,1521.298977,0.680277,0.318925,23499,14.904413,4.156250,-0.968750,0.913103,0.086897,1.000000
3,128,0.000000,0,20688323,0.000000,-47.083076,0.242654,0.534113,2290,2.926897,-0.343750,-5.687500,0.655895,0.344105,1.000000
3,128,0.000000,1,20688333,0.000000,21.989885,0.236916,0.505545,2230,2.766944,3.273438,-5.203125,0.659641,0.340359,1.000000
3,128,0.000000,2,20688343,0.000000,120.957913,0.222031,0.617423,2597,3.101889,3.898438,-5.453125,0.688102,0.311898,1.000000
3,128,0.000000,3,20688353,0.000000,-30.974366,0.217992,0.635583,2635,3.296472,1.070312,-6.734375,0.673245,0.326755,1.000000
3,128,0.000000,4,20688363,0.000000,-14.885345,0.235615,0.598149,2283,2.884406,-2.679688,-5.484375,0.670171,0.329829,1.000000
3,128,0.000000,5,20688373,0.000000,42.832435,0.207383,0.637475,2619,3.149633,0.875000,-5.000000,0.708667,0.291333,1.000000
3,128,0.000000,6,20688383,0.000000,-23.814105,0.287331,0.613100,2578,3.708065,4.148438,-4.953125,0.703258,0.296742,1.000000
3,128,0.000000,7,20688393,0.000000,22.275181,0.267578,0.618680,2392,3.312636,-4.687500,-5.000000,0.698997,0.301003,1.000000
3,128,0.250000,0,20688348,0.375000,1.793521,0.120099,0.289850,2286,2.485410,-1.257812,-6.015625,0.648294,0.351706,1.000000
3,128,0.250000,1,20688358,0.375000,-2.379822,0.153915,0.287584,2105,2.423136,-1.445312,-6.390625,0.624703,0.375297,1.000000
3,128,0.250000,2,20688368,0.375000,-16.749544,0.139098,0.316898,1846,2.385802,-1.015625,-5.156250,0.621885,0.378115,1.000000
3,128,0.250000,3,20688378,0.375000,-1.474760,0.136380,0.299208,2306,2.816381,-2.031250,-5.937500,0.656548,0.343452,1.000000
3,128,0.250000,4,20688388,0.375000,-20.413821,0.132069,0.298113,1804,2.136383,4.781250,-4.687500,0.618625,0.381375,1.000000
3,128,0.250000,5,20688398,0.375000,-15.223121,0.125475,0.267366,2062,2.285116,1.359375,-4.781250,0.640640,0.359360,1.000000
3,128,0.250000,6,20688408,0.375000,-6.341061,0.117435,0.326599,2058,2.558843,3.703125,-5.093750,0.649174,0.350826,1.000000
3,128,0.250000,7,20688418,0.375000,21.033482,0.128763,0.251190,2141,2.867693,4.375000,-3.750000,0.674918,0.325082,1.000000
3,128,0.500000,0,20688373,1.500000,6.467758,0.116406,0.314430,1748,1.973794,5.203125,-3.968750,0.633295,0.366705,1.000000
3,128,0.500000,1,20688383,1.500000,-9.498586,0.154956,0.340560,1704,2.060458,2.609375,-5.656250,0.594484,0.405516,1.000000
3,128,0.500000,2,20688393,1.500000,10.068851,0.164397,0.273643,1558,1.913151,3.414062,-3.921875,0.607189,0.392811,1.000000
3,128,0.500000,3,20688403,1.500000,83.108412,0.148836,0.244396,1264,1.438331,3.906250,-4.562500,0.529272,0.470728,1.000000
3,128,0.500000,4,20688413,1.500000,13.355810,0.121777,0.289040,1409,1.800763,5.265625,-3.093750,0.610362,0.389638,1.000000
3,128,0.500000,5,20688423,1.500000,-2.394225,0.143686,0.320877,1415,1.665792,-2.148438,-4.046875,0.584452,0.415548,1.000000
3,128,0.500000,6,20688433,1.500000,28.424676,0.149462,0.237851,1679,2.341888,0.656250,-3.937500,0.639666,0.360334,1.000000
3,128,0.500000,7,20688443,1.500000,-24.166139,0.136347,0.297225,1609,1.971515,1.460938,-4.953125,0.591050,0.408950,1.000000
3,128,1.000000,0,20688423,6.000000,44.617388,0.151683,0.174490,725,0.910942,0.656250,-3.062500,0.444138,0.555862,0.999998
3,128,1.000000,1,20688433,6.000000,19.353202,0.109806,0.212168,827,0.933021,2.195312,-3.734375,0.448609,0.551391,0.999998
3,128,1.000000,2,20688443,6.000000,-36.023422,0.190552,0.143800,792,0.984131,0.648438,-3.328125,0.455808,0.544192,0.999999
3,128,1.000000,3,20688453,6.000000,105.819450,0.141169,0.162244,896,1.103867,6.093750,-2.937500,0.497768,0.502232,1.000000
3,128,1.000000,4,20688463,6.000000,-17.002977,0.169057,0.175992,952,0.996294,1.273438,-4.578125,0.452731,0.547269,0.999999
