d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,n_patches,b1_std_patch_mean,b1_std_patch_std,wmr_patch_mean,wmr_patch_std
4,128,0.25,21,0.75,0.0625,1021,0.0703125,19.59718713622809,0.453125,32.0,2,8.143859024062547,8.143859024062547,nan,nan
4,128,0.25,22,0.75,0.0625,1145,0.65625,25.991115519298127,0.4296875,25.6,2,10.02856053209355,9.592670637739483,nan,nan
4,128,0.25,23,0.75,0.0625,925,2.7734375,16.331150661652526,0.4375,32.0,2,6.234084599342657,6.234084599342657,nan,nan
4,128,0.25,24,0.75,0.0625,1061,-0.1015625,18.848010440324828,0.4609375,32.0,2,8.350456733191866,8.350456733191866,nan,nan
4,128,0.25,25,0.75,0.0625,997,1.359375,21.855253364108478,0.4140625,32.0,2,7.78882482489305,7.78882482489305,nan,nan
4,128,0.25,26,0.75,0.0625,1082,2.21875,18.630845349513802,0.46875,25.6,2,6.086253878459681,5.7927103545087775,nan,nan
4,128,0.25,27,0.75,0.0625,1147,-0.8046875,22.819625118028206,0.4296875,18.285714285714285,2,5.822342451311046,4.041444466266396,nan,nan
4,128,0.25,28,0.75,0.0625,901,-0.2109375,19.131392862807814,0.4375,32.0,2,7.886058562385845,7.886058562385845,nan,nan
4,128,0.25,29,0.75,0.0625,1156,-1.609375,23.512042916543322,0.421875,32.0,2,9.085222876353129,9.085222876353129,nan,nan
4,128,0.25,30,0.75,0.0625,968,-1.6796875,15.665414530179014,0.4375,25.6,2,7.193846965723107,6.64107616733054,nan,nan
4,128,0.25,31,0.75,0.0625,1056,1.1171875,19.509861726569046,0.4375,32.0,2,8.541950300361004,8.541950300361004,nan,nan
4,128,0.5,0,3.0,0.25,662,2.9140625,15.741578772349797,0.5078125,32.0,2,5.338976324989038,5.338976324989038,nan,nan
4,128,0.5,1,3.0,0.25,770,4.1953125,13.314148133746437,0.53125,32.0,2,4.994438159106232,4.994438159106232,nan,nan
4,128,0.5,2,3.0,0.25,757,2.890625,14.831993699748358,0.5546875,32.0,1,13.33791613521897,nan,nan,nan
