d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,layer_width_std
4,512,0.25,9,0.75,0.0625,17021,3.439453125,42.543317149417575,0.326171875,85.33333333333333,27.59629604775894
4,512,0.25,10,0.75,0.0625,17043,-2.65625,42.236950185086755,0.345703125,73.14285714285714,41.97764225131745
4,512,0.25,11,0.75,0.0625,17276,-4.01953125,41.36904707665229,0.314453125,73.14285714285714,37.33412292653836
4,512,0.25,12,0.75,0.0625,15883,0.115234375,40.461261401046535,0.3359375,85.33333333333333,31.7787490139069
4,512,0.25,13,0.75,0.0625,16789,1.13671875,38.3404371451787,0.3125,73.14285714285714,33.27130282746281
4,512,0.25,14,0.75,0.0625,16683,-0.412109375,43.06907707669201,0.328125,73.14285714285714,34.186165002103124
4,512,0.25,15,0.75,0.0625,16997,0.73828125,41.352876678000264,0.322265625,85.33333333333333,35.410293544234975
4,512,0.5,0,3.0,0.25,13702,-2.16796875,39.75460750339542,0.416015625,85.33333333333333,51.667741924295036
4,512,0.5,1,3.0,0.25,10577,3.900390625,30.949426991422833,0.416015625,85.33333333333333,51.69354139756941
4,512,0.5,2,3.0,0.25,11829,-0.654296875,33.35351047827447,0.357421875,85.33333333333333,41.787823851239516
4,512,0.5,3,3.0,0.25,12786,3.06640625,36.20033618918422,0.384765625,85.33333333333333,39.88594851434385
4,512,0.5,4,3.0,0.25,9981,1.802734375,30.593640710091915,0.453125,85.33333333333333,56.275117848733906
4,512,0.5,5,3.0,0.25,11701,-1.20703125,31.615118722084905,0.412109375,85.33333333333333,42.184778718817
4,512,0.5,6,3.0,0.25,11755,-1.501953125,35.51331171103735,0.396484375,85.33333333333333,41.88343613198686
4,512,0.5,7,3.0,0.25,11061,1.125,31.877695964420013,0.3984375,85.33333333333333,52.04058245467879
4,512,0.5,8,3.0,0.25,11205,-0.5859375,32.43853017240599,0.390625,85.33333333333333,42.61715877697881
4,512,0.5,9,3.0,0.25,11340,-0.908203125,31.290307927675308,0.400390625,85.33333333333333,40.43788103031886
4,512,0.5,10,3.0,0.25,10957,0.09375,32.591862361446914,0.419921875,85.33333333333333,43.736585244951264
4,512,0.5,11,3.0,0.25,10521,0.662109375,30.166612368652487,0.3984375,85.33333333333333,47.70977072070481
4,512,0.5,12,3.0,0.25,11315,1.38671875,33.58069309303187,0.404296875,73.14285714285714,46.36325075324381
4,512,0.5,13,3.0,0.25,11811,0.240234375,30.957615025548535,0.39453125,85.33333333333333,42.34645465941892
4,512,0.5,14,3.0,0.25,12266,3.931640625,38.159221511593366,0.4140625,85.33333333333333,39.915187864047724
4,512,0.5,15,3.0,0.25,11363,1.443359375,30.028513709299695,0.390625,85.33333333333333,50.446891766380304
4,512,1.0,0,12.0,1.0,4233,-0.630859375,19.650820614518228,0.642578125,102.4,80.2037405611484
4,512,1.0,1,12.0,1.0,3972,2.7578125,17.747797439818942,0.60546875,102.4,74.53482407572986
4,512,1.0,2,12.0,1.0,3831,1.02734375,16.62767936512296,0.583984375,102.4,76.9222984575994
4,512,1.0,3,12.0,1.0,4508,0.623046875,17.995889724227382,0.6015625,102.4,80.0539817872915
4,512,1.0,4,12.0,1.0,5207,2.39453125,20.614121406035558,0.59375,102.4,70.0445572475121
4,512,1.0,5,12.0,1.0,4350,0.55859375,19.31372579986733,0.599609375,102.4,72.96464897469184
4,512,1.0,6,12.0,1.0,3571,0.470703125,15.920797654110023,0.623046875,128.0,72.7564430136603
4,512,1.0,7,12.0,1.0,4195,-0.8515625,20.572789919177072,0.591796875,102.4,75.46813897268171
4,512,1.0,8,12.0,1.0,4115,1.265625,17.158946452488713,0.61328125,102.4,81.84277610149842
4,512,1.0,9,12.0,1.0,4307,-1.861328125,18.73693056469186,0.591796875,102.4,73.7634055612944
4,512,1.0,10,12.0,1.0,4579,-0.87890625,18.65331803738174,0.60546875,102.4,81.0890868119749
4,512,1.0,11,12.0,1.0,4871,-0.9921875,20.80508354861484,0.587890625,102.4,79.18737273075803
