family,N,rep,seed,n_layers,bd_ratio,bdg_d2c,bdg_d4,link_frac,total_relations,C0,C1,C2,C3
Lor5D,28,15,17842,2,0.0,-0.6428571428571429,0.17857142857142858,1.0,23,23,0,0,0
Lor5D,28,16,18842,2,0.0,-2.5,-0.75,1.0,49,49,0,0,0
Lor5D,28,17,19842,2,0.0,-1.2142857142857142,-0.10714285714285714,1.0,31,31,0,0,0
Lor5D,28,18,20842,2,0.0,-3.857142857142857,-1.4285714285714286,1.0,68,68,0,0,0
Lor5D,28,19,21842,3,0.0322265625,-3.2857142857142856,-0.5714285714285714,0.96875,64,62,2,0,0
Lor5D,36,0,3642,3,0.03698979591836733,-3.3333333333333335,-0.5,0.9642857142857143,84,81,3,0,0
Lor5D,36,1,4642,3,0.03631886734379809,-1.9444444444444444,-0.027777777777777776,0.9649122807017544,57,55,2,0,0
Lor5D,36,2,5642,4,0.19562854727689888,-2.5,1.25,0.8351648351648352,91,76,13,2,0
Lor5D,36,3,6642,3,0.07226771092915626,-4.222222222222222,-0.7222222222222222,0.9339622641509434,106,99,5,1,1
Lor5D,36,4,7642,2,0.0,-2.8333333333333335,-0.9166666666666666,1.0,69,69,0,0,0
