d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,b1_mean,b1_std,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread
2,128,0.25,2,0.125,0.0625,3421,0.1484375,15.0,0.1171875,8.533333333333333,2.7535835237417845,0.3226855691884904,0.125,2.656128046119146,-0.859375,5.118493392530169,0.6171875,-8.041193584185937,10.718066549483009,1.00883572288528,18.759260133668946
2,128,0.25,3,0.125,0.0625,3772,0.1328125,14.0,0.109375,9.142857142857142,1.684260874650228,0.18421603316486868,0.0859375,2.621227937231693,-0.671875,4.364468350712948,0.515625,-6.395379863709638,9.370519874716301,0.5343871966866267,15.76589973842594
2,128,0.25,4,0.125,0.0625,3518,0.140625,18.0,0.140625,7.111111111111111,3.5883900582122537,0.5046173519360982,0.1171875,2.754641686381456,-0.53125,4.613054675320899,0.515625,-5.88603669253539,9.241295159284435,0.7057362047754658,15.127331851819825
2,128,0.25,5,0.125,0.0625,3723,0.1484375,18.0,0.140625,7.111111111111111,3.462319211307307,0.4868886390900901,0.1015625,2.7572271217279396,-1.25,4.866980583482946,0.578125,-6.38653474854917,9.752561792040144,0.5742419281661828,16.139096540589314
2,128,0.25,6,0.125,0.0625,3783,0.1328125,14.0,0.109375,9.142857142857142,3.1590491982137117,0.3455210060546247,0.1015625,2.5619262049920017,-0.4375,4.227421643271463,0.515625,-5.467406333206909,9.648213213277002,0.637472586923213,15.11561954648391
2,128,0.25,7,0.125,0.0625,3701,0.140625,13.0,0.1015625,9.846153846153847,2.213460703067409,0.22480460265528374,0.109375,2.5365663167844117,-1.109375,4.536715453869132,0.578125,-6.963334741643765,10.285124322891685,0.6180301078083659,17.24845906453545
2,128,0.5,0,0.5,0.25,3004,0.1484375,15.0,0.1171875,8.533333333333333,3.343982987729187,0.3918730063745141,0.109375,2.61728504908389,-0.515625,4.181402977395864,0.5390625,-5.828306360544352,8.967698986914838,0.2521746714326891,14.79600534745919
2,128,0.5,1,0.5,0.25,3340,0.1484375,15.0,0.1171875,8.533333333333333,2.6297443897754693,0.3081731706768128,0.109375,2.6561895025,-1.140625,4.45942536762025,0.5625,-6.633393750360246,10.243385013030236,1.3803015152692915,16.876778763390483
2,128,0.5,2,0.5,0.25,3266,0.1328125,16.0,0.125,8.0,3.0413812651491097,0.3801726581436387,0.09375,2.6725250219719827,-0.5,4.02336923485777,0.546875,-5.610412775545001,9.467652624102621,0.9820340104195928,15.078065399647622
2,128,0.5,3,0.5,0.25,3280,0.1875,15.0,0.1171875,8.533333333333333,3.403266404826725,0.39882028181563184,0.1171875,2.6217941181853783,-0.96875,4.092557078099217,0.5625,-5.9592507320065415,9.132416973298302,0.10710254080439086,15.091667705304843
2,128,0.5,4,0.5,0.25,3306,0.1484375,13.0,0.1015625,9.846153846153847,1.0986812966989,0.11158481919598201,0.09375,2.5586803542509275,-1.359375,4.223695018508676,0.59375,-6.408951239943021,9.753923577917742,0.8729791864798777,16.162874817860764
2,128,0.5,5,0.5,0.25,3463,0.1484375,15.0,0.1171875,8.533333333333333,3.116978594016256,0.36527092898628005,0.109375,2.6269311131176423,-0.734375,4.7721267124181646,0.5078125,-6.993050287234236,10.502681564015544,0.8605424328192228,17.49573185124978
2,128,0.5,6,0.5,0.25,3198,0.15625,14.0,0.109375,9.142857142857142,2.5314350209527645,0.27687570541670864,0.1015625,2.597807071649899,-0.078125,4.74277307957855,0.4609375,-6.063313091631671,9.478416421088035,0.585510900277324,15.541729512719705
2,128,0.5,7,0.5,0.25,3441,0.15625,14.0,0.109375,9.142857142857142,3.1134992453861954,0.34053897996411514,0.1328125,2.5763512417835677,-1.234375,4.0897821897229445,0.59375,-5.886179524357892,9.421544854375732,0.3918322627235664,15.307724378733624
2,128,1.0,0,2.0,1.0,2543,0.1875,12.0,0.09375,10.666666666666666,4.853406592853679,0.4550068680800324,0.1484375,2.374845154435023,0.078125,4.129939041242014,0.5078125,-5.670415616226809,9.258503663100202,0.4885236741272383,14.928919279327012
2,128,1.0,1,2.0,1.0,3123,0.171875,13.0,0.1015625,9.846153846153847,3.9583631785441873,0.402021260320894,0.125,2.476975182751346,-1.71875,4.794100378329598,0.546875,-6.687088904420599,10.038089419274005,0.7994804447840682,16.725178323694603
2,128,1.0,2,2.0,1.0,2673,0.21875,15.0,0.1171875,8.533333333333333,3.6307330144506937,0.4254765251309407,0.1171875,2.6072285865199785,-0.421875,4.184438012968408,0.5,-5.799749662628695,9.188055368407959,0.4606910159429898,14.987805031036654
2,128,1.0,3,2.0,1.0,2878,0.171875,13.0,0.1015625,9.846153846153847,3.230769230769231,0.328125,0.109375,2.4925331522080714,-0.625,3.7811208655635435,0.5390625,-6.164460690212029,10.096238683549501,1.4339167642551693,16.26069937376153
2,128,1.0,4,2.0,1.0,2654,0.1875,13.0,0.1015625,9.846153846153847,4.469488937333523,0.4539324701979359,0.140625,2.440770994112349,-0.53125,4.290136762097451,0.53125,-6.415618494035252,9.634465798703355,0.6685054236187291,16.050084292738607
2,128,1.0,5,2.0,1.0,2724,0.2109375,12.0,0.09375,10.666666666666666,4.624812308503869,0.43357615392223775,0.1328125,2.368865938085024,-0.828125,4.61673141782961,0.5546875,-6.895528261828523,10.258339906289056,1.4084172822131826,17.15386816811758
2,128,1.0,6,2.0,1.0,2527,0.15625,12.0,0.09375,10.666666666666666,3.1710495984067415,0.29728589985063203,0.1328125,2.4397600802701196,-0.328125,4.382332025802587,0.53125,-6.661809235941741,10.245449074686293,1.3977673594545301,16.907258310628034
2,128,1.0,7,2.0,1.0,2714,0.15625,14.0,0.109375,9.142857142857142,3.313546715640915,0.3624191720232251,0.1015625,2.563484432847677,-0.609375,4.077825659512064,0.515625,-5.501601305167463,9.019681387814455,0.599604950852525,14.521282692981917
2,128,2.0,0,8.0,4.0,1278,0.296875,10.0,0.078125,12.8,8.133879763065101,0.635459356489461,0.1953125,2.06620068980085,-0.546875,3.3092185987593807,0.5390625,-6.088458958797747,9.084420128047078,0.42838956196566436,15.172879086844826
2,128,2.0,1,8.0,4.0,1501,0.2890625,10.0,0.078125,12.8,4.190465367951393,0.3273801068712025,0.15625,2.242390369204689,-0.640625,4.080698421762505,0.578125,-5.4126902623200985,8.745491650796735,0.10592522777446867,14.158181913116834
