rs,N,rep,mean_K,median_K,std_K,max_K,n_causal_pairs,C_0,C_1,C_2,C_3,C_4,bd_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,w_max_ratio,bin0_density,bin0_mean_K,bin0_layer_ratio,bin1_density,bin1_mean_K,bin1_layer_ratio,bin2_density,bin2_mean_K,bin2_layer_ratio
0.5,256,0,0.02201085367033687,0.000238120135064389,0.19262431709699449,2.8992408940728627,12402,2873,1337,918,701,589,0.08802083333333334,9.0,0.03515625,28.444444444444443,10.667824011287516,0.37504068789682676,0.1484375,2.0987532979939516,0.19921875,0.5030812324929972,0.06589286980354064,0.09411764705882353,0.3792717086834734,0.0003027101597783923,0.07058823529411765,0.32558139534883723,9.48167758618608e-05,0.06976744186046512
0.5,256,1,0.02075616123990684,0.00023551875391915488,0.1931571053480372,2.950291674844948,12607,2830,1329,966,763,576,0.08670343137254902,8.0,0.03125,32.0,9.0,0.28125,0.15625,2.0312597027968837,0.20703125,0.5072829131652661,0.06214926633448259,0.09411764705882353,0.4008403361344538,0.00027074852921961753,0.08235294117647059,0.3151846785225718,9.158155815656307e-05,0.06976744186046512
0.5,256,2,0.00923585700095895,0.00025252016437598244,0.05764839947298747,0.7731371292679244,12342,2887,1350,927,678,596,0.08844975490196079,8.0,0.03125,32.0,13.416407864998739,0.4192627457812106,0.1953125,1.9598486322185904,0.20703125,0.5042016806722689,0.02741684089177488,0.08235294117647059,0.37450980392156863,0.00029936239349356776,0.08235294117647059,0.30752393980848153,9.886177904271863e-05,0.06976744186046512
0.5,256,3,0.003792583234678582,0.0002676265593432221,0.02931537231209663,0.4552351957599269,11954,2607,1317,959,712,595,0.07987132352941176,9.0,0.03515625,28.444444444444443,11.432032103903984,0.40190737865287446,0.1640625,2.0909087041122976,0.1875,0.4879551820728291,0.011019805064792252,0.09411764705882353,0.3442577030812325,0.0002993277431611859,0.08235294117647059,0.30259917920656637,0.00010203510932179833,0.06976744186046512
0.5,256,4,0.016082885229106194,0.00025732573998012224,0.1590976853106599,2.4383687743000513,13287,2711,1345,953,724,684,0.08305759803921568,9.0,0.03515625,28.444444444444443,13.491652654809368,0.47431591364564185,0.1875,2.054212204548302,0.21875,0.5403361344537815,0.04799803852359774,0.08235294117647059,0.3831932773109244,0.0003431111895976783,0.07058823529411765,0.33679890560875514,9.559177941365281e-05,0.10465116279069768
0.5,256,5,0.009836813615378996,0.00023793202648469627,0.06275905882026908,0.8992867282013818,12016,2972,1269,904,715,618,0.09105392156862745,8.0,0.03125,32.0,11.247221879201993,0.35147568372506227,0.18359375,1.9948541252747467,0.23046875,0.5243697478991597,0.02924727462363531,0.08235294117647059,0.36022408963585434,0.0002862084033388688,0.08235294117647059,0.2954856361149111,9.160730516532331e-05,0.06976744186046512
0.5,256,6,0.0051298387523234295,0.00027584496772265036,0.02405777013167071,0.2547047773173941,11762,2920,1314,874,723,593,0.08946078431372549,8.0,0.03125,32.0,10.173494974687902,0.31792171795899693,0.16015625,2.0144591140557524,0.21484375,0.5282913165266107,0.0150001276631678,0.09411764705882353,0.346218487394958,0.000356966219428399,0.07058823529411765,0.27387140902872775,9.16946578386149e-05,0.08139534883720931
0.5,256,7,0.010585420566876553,0.00024500485627786876,0.06909662434155454,0.9644598187798488,11970,2835,1398,963,669,531,0.08685661764705882,8.0,0.03125,32.0,11.146748404803978,0.3483358876501243,0.171875,1.9994568076512012,0.2109375,0.48403361344537815,0.03150602510757135,0.08235294117647059,0.3369747899159664,0.0002813707754762393,0.08235294117647059,0.32366621067031465,9.231412862038017e-05,0.06976744186046512
0.5,256,8,0.011089510522842228,0.00028891825290117254,0.08182332535246697,1.101367464179677,12026,2792,1326,883,684,579,0.08553921568627451,10.0,0.0390625,25.6,13.124023773218335,0.5126571786413412,0.1640625,2.1234358555599173,0.20703125,0.4823529411764706,0.032987105097149395,0.09411764705882353,0.384593837535014,0.0003118120732431093,0.08235294117647059,0.28153214774281804,9.89155158633318e-05,0.06976744186046512
0.5,256,9,0.01773408863416049,0.0002821495738033568,0.13189156356691537,1.529598597207337,12512,2882,1356,885,736,588,0.08829656862745099,9.0,0.03515625,28.444444444444443,12.962433851635451,0.45571056509655883,0.171875,2.0564990619191703,0.203125,0.5148459383753501,0.053000641653932506,0.09411764705882353,0.3487394957983193,0.00031383701985919916,0.09411764705882353,0.320109439124487,9.530236131150347e-05,0.09302325581395349
