beta,gamma,lam,eta,kappa,L_B,L_C,L_A,L_D,L_total
0.5,1.3333333333333335,1.0333333333333332,0.7,0.2,0.0,0.03711714740086079,64.75010433445992,0.0,32.41216931463082
0.5,1.3333333333333335,1.0333333333333332,0.7,0.35,0.0,0.0372587409572984,64.77598844313506,0.0,32.42525296252483
0.5,1.3333333333333335,1.0333333333333332,0.7,0.5,0.0,0.03740127450817664,64.80190960023143,0.0,32.43835607462389
0.5,1.3333333333333335,1.0333333333333332,1.0,0.05,0.0,0.026489126159079626,64.87213190631608,0.0,32.46255507931712
0.5,1.3333333333333335,1.0333333333333332,1.0,0.2,0.0,0.02656280497009295,64.90115068735962,0.0,32.4771381486499
0.5,1.3333333333333335,1.0333333333333332,1.0,0.35,0.0,0.02663807004058572,64.93020651682421,0.0,32.49174132845269
0.5,1.3333333333333335,1.0333333333333332,1.0,0.5,0.0,0.026714906514792535,64.95929939471017,0.0,32.506364603869876
0.5,1.3333333333333335,1.5,0.1,0.05,0.0,0.0760889850089404,64.71001697838122,0.0,32.43109747419955
0.5,1.3333333333333335,1.5,0.1,0.2,0.0,0.07626774019193795,64.72948251850983,0.0,32.44100899944685
0.5,1.3333333333333335,1.5,0.1,0.35,0.0,0.07644546632164703,64.74898510705933,0.0,32.45093801985131
0.5,1.3333333333333335,1.5,0.1,0.5,0.0,0.07662216702695503,64.76852474403026,0.0,32.460884539042084
0.5,1.3333333333333335,1.5,0.4,0.05,0.0,0.05013512120038231,64.17663818616968,0.0,32.138454214285225
0.5,1.3333333333333335,1.5,0.4,0.2,0.0,0.05030890931500131,64.19927544708773,0.0,32.149946632858864
0.5,1.3333333333333335,1.5,0.4,0.35,0.0,0.05048218297071977,64.22194975642694,0.0,32.16145706118419
0.5,1.3333333333333335,1.5,0.4,0.5,0.0,0.05065494085671599,64.24466111418752,0.0,32.17298549795048
0.5,1.3333333333333335,1.5,0.7,0.05,0.0,0.033316095218617274,63.991867634842485,0.0,32.02924991263986
0.5,1.3333333333333335,1.5,0.7,0.2,0.0,0.03345990187210751,64.01767661655006,0.0,32.04229821014714
0.5,1.3333333333333335,1.5,0.7,0.35,0.0,0.033603558899615915,64.04352264667901,0.0,32.05536488223912
0.5,1.3333333333333335,1.5,0.7,0.5,0.0,0.03374706384711766,64.06940572522905,0.0,32.06844992646164
0.5,1.3333333333333335,1.5,1.0,0.05,0.0,0.02335132653019845,64.15570532439988,0.0,32.101203988730134
0.5,1.3333333333333335,1.5,1.0,0.2,0.0,0.02345245662407418,64.18468602689703,0.0,32.115795470072584
0.5,1.3333333333333335,1.5,1.0,0.35,0.0,0.023555053384639223,64.21370377781551,0.0,32.130406942292396
0.5,1.3333333333333335,1.5,1.0,0.5,0.0,0.023659095936726528,64.24275857715524,0.0,32.14503838451435
0.5,2.166666666666667,0.1,0.1,0.05,0.0,0.1259985975375069,212.1621822188404,0.0,106.2070897069577
0.5,2.166666666666667,0.1,0.1,0.2,0.0,0.12602153013401013,212.19007872191287,0.0,106.22106089109045
0.5,2.166666666666667,0.1,0.1,0.35,0.0,0.12604440454516272,212.2180122734066,0.0,106.23505054124847
0.5,2.166666666666667,0.1,0.1,0.5,0.0,0.12606722045024435,212.2459828733217,0.0,106.24905865711109
0.5,2.166666666666667,0.1,0.4,0.05,0.0,0.09796350595144732,210.18496683210245,0.0,105.19044692200266
0.5,2.166666666666667,0.1,0.4,0.2,0.0,0.09800284078694907,210.21603505596437,0.0,105.20602036876913
0.5,2.166666666666667,0.1,0.4,0.35,0.0,0.09804238103193605,210.247140328248,0.0,105.22161254515593
0.5,2.166666666666667,0.1,0.4,0.5,0.0,0.09808212478378053,210.27828264895243,0.0,105.23722344926
0.5,2.166666666666667,0.1,0.7,0.05,0.0,0.07564177641501005,208.55635968624892,0.0,104.35382161953947
0.5,2.166666666666667,0.1,0.7,0.2,0.0,0.07567382389866151,208.5905996309007,0.0,104.37097363934902
0.5,2.166666666666667,0.1,0.7,0.35,0.0,0.07570633859174726,208.6248766239736,0.0,104.38814465057854
