d,N,p_frw,rep,bin_label,n_matched,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
3,256,1.5,3,early,128,2.3299820868055514,2025,0.3671875,8.0,0.0625,16.0
3,256,1.5,3,late,128,1.6229146477745549,160,0.625,3.0,0.0234375,42.666666666666664
3,256,1.5,4,early,128,2.3517841079309285,2020,0.3515625,8.0,0.0625,16.0
3,256,1.5,4,late,128,1.6233176398912113,140,0.609375,4.0,0.03125,32.0
3,256,1.5,5,early,128,2.271391058055898,1579,0.421875,8.0,0.0625,16.0
3,256,1.5,5,late,128,1.6121006732345087,92,0.703125,3.0,0.0234375,42.666666666666664
3,256,1.5,6,early,128,2.3681217282581852,2442,0.375,9.0,0.0703125,14.222222222222223
3,256,1.5,6,late,128,1.618297772902611,114,0.6328125,3.0,0.0234375,42.666666666666664
3,256,1.5,7,early,128,2.4091828950168312,2595,0.359375,9.0,0.0703125,14.222222222222223
3,256,1.5,7,late,128,1.6105567898211621,80,0.71875,3.0,0.0234375,42.666666666666664
3,256,2.0,0,early,128,2.9013171215486464,1987,0.4453125,8.0,0.0625,16.0
3,256,2.0,0,late,128,2.13337503600649,75,0.7109375,4.0,0.03125,32.0
3,256,2.0,1,early,128,2.958065291552156,1945,0.4765625,8.0,0.0625,16.0
3,256,2.0,1,late,128,2.1578564308381676,117,0.6875,3.0,0.0234375,42.666666666666664
3,256,2.0,2,early,128,2.7683250175313163,1735,0.4296875,8.0,0.0625,16.0
3,256,2.0,2,late,128,2.125115790180651,82,0.6796875,3.0,0.0234375,42.666666666666664
3,256,2.0,3,early,128,2.9132002400107933,2023,0.40625,7.0,0.0546875,18.285714285714285
3,256,2.0,3,late,128,2.136299180104907,105,0.6328125,3.0,0.0234375,42.666666666666664
3,256,2.0,4,early,128,2.769510999546217,1658,0.46875,8.0,0.0625,16.0
3,256,2.0,4,late,128,2.1143815123284395,81,0.6796875,3.0,0.0234375,42.666666666666664
3,256,2.0,5,early,128,2.769846380982286,1686,0.4765625,8.0,0.0625,16.0
3,256,2.0,5,late,128,2.131601591368875,104,0.671875,4.0,0.03125,32.0
3,256,2.0,6,early,128,2.99635738494779,2310,0.4296875,9.0,0.0703125,14.222222222222223
3,256,2.0,6,late,128,2.143739145686432,111,0.6640625,3.0,0.0234375,42.666666666666664
3,256,2.0,7,early,128,2.9212662416941866,1876,0.375,9.0,0.0703125,14.222222222222223
3,256,2.0,7,late,128,2.1469133145025587,114,0.6640625,3.0,0.0234375,42.666666666666664
4,128,0.5,0,early,64,1.053732284203849,172,0.59375,4.0,0.0625,16.0
4,128,0.5,0,late,64,0.5869186764561449,29,0.78125,3.0,0.046875,21.333333333333332
4,128,0.5,1,early,64,1.1174843376893278,230,0.53125,4.0,0.0625,16.0
4,128,0.5,1,late,64,0.5649644839731317,19,0.84375,3.0,0.046875,21.333333333333332
4,128,0.5,2,early,64,1.1585830399648887,294,0.53125,4.0,0.0625,16.0
4,128,0.5,2,late,64,0.582096309029289,24,0.78125,2.0,0.03125,32.0
4,128,0.5,3,early,64,0.8911330459818826,139,0.65625,4.0,0.0625,16.0
4,128,0.5,3,late,64,0.5526430277066318,3,0.953125,2.0,0.03125,32.0
4,128,0.5,4,early,64,1.1791163634441983,430,0.53125,4.0,0.0625,16.0
4,128,0.5,4,late,64,0.5519670125608667,9,0.90625,2.0,0.03125,32.0
4,128,0.5,5,early,64,1.062161094085686,309,0.484375,5.0,0.078125,12.8
4,128,0.5,5,late,64,0.5562717584131349,7,0.90625,2.0,0.03125,32.0
4,128,0.5,6,early,64,1.0671490275650162,208,0.625,3.0,0.046875,21.333333333333332
4,128,0.5,6,late,64,0.5699228379787219,9,0.890625,2.0,0.03125,32.0
