d,N,p_frw,rep,t_center,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
2,256,1.0,3,0.2,5.0,13836,0.125,23.0,0.08984375,11.130434782608695,3.959626111313904,0.3557476584383586,0.07421875,3.0705191822092623
2,256,1.0,4,0.2,5.0,13233,0.109375,20.0,0.078125,12.8,4.985980344927164,0.38952971444743467,0.07421875,2.9013560431698493
2,256,1.0,5,0.2,5.0,13799,0.09765625,21.0,0.08203125,12.19047619047619,3.6854804896932087,0.30232457142014607,0.078125,2.9978669716803528
2,256,1.0,6,0.2,5.0,13414,0.12109375,22.0,0.0859375,11.636363636363637,4.028821782938244,0.3462268719712553,0.078125,3.0232520672869443
2,256,1.0,7,0.2,5.0,13286,0.12109375,21.0,0.08203125,12.19047619047619,4.260773992050959,0.34951661653543026,0.0703125,2.9690752027165024
2,256,1.0,0,0.4,2.5,7324,0.1328125,15.0,0.05859375,17.066666666666666,7.1876437183698965,0.4211509991232361,0.1015625,2.5812001750341196
2,256,1.0,1,0.4,2.5,8131,0.140625,16.0,0.0625,16.0,6.041522986797286,0.3775951866748304,0.0859375,2.6752875735592117
2,256,1.0,2,0.4,2.5,7622,0.13671875,15.0,0.05859375,17.066666666666666,6.485539470408165,0.3800120783442284,0.10546875,2.6071699531365606
2,256,1.0,3,0.4,2.5,7803,0.12890625,17.0,0.06640625,15.058823529411764,6.347492216572335,0.4215131550067566,0.0859375,2.7222272916383967
2,256,1.0,4,0.4,2.5,7751,0.140625,16.0,0.0625,16.0,5.545268253204709,0.3465792658252943,0.09375,2.6951995566391016
2,256,1.0,5,0.4,2.5,7916,0.1640625,15.0,0.05859375,17.066666666666666,6.318930992572152,0.37024986284602457,0.09765625,2.614338067708965
2,256,1.0,6,0.4,2.5,7856,0.12890625,15.0,0.05859375,17.066666666666666,4.265624872812371,0.24993895739134986,0.0859375,2.6712982485360754
2,256,1.0,7,0.4,2.5,8243,0.13671875,17.0,0.06640625,15.058823529411764,6.082478096334383,0.40391456108470514,0.09375,2.738120611969207
2,256,1.0,0,0.6,1.6666666666666667,5372,0.15625,13.0,0.05078125,19.692307692307693,7.32104044081814,0.37177158488529616,0.11328125,2.475161003417985
