d,N,p_frw,rep,bin_label,t_mean,H_local,H_local_sq,n_elements,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
2,128,0.67,4,early,0.41298117824327424,1.9949625434214422,3.9798755496545497,64,1040,0.171875,10.0,0.15625,6.4
2,128,0.67,4,late,0.8351592422874818,0.8139475756883641,0.6625106559689652,64,471,0.28125,7.0,0.109375,9.142857142857142
2,128,0.67,5,early,0.43263505937412144,1.9329422549453281,3.73626576095313,64,1021,0.21875,12.0,0.1875,5.333333333333333
2,128,0.67,5,late,0.8527549077924828,0.7992057362662904,0.6387298088809433,64,515,0.28125,9.0,0.140625,7.111111111111111
2,128,0.67,6,early,0.4179246249947798,2.0935622943721013,4.383003080416577,64,1072,0.203125,11.0,0.171875,5.818181818181818
2,128,0.67,6,late,0.851766719217576,0.7955079091287176,0.632832833486344,64,408,0.28125,8.0,0.125,8.0
2,128,0.67,7,early,0.45000927956453773,1.7200895769861262,2.9587081528563104,64,976,0.21875,13.0,0.203125,4.923076923076923
2,128,0.67,7,late,0.8160060182670316,0.8306844889601958,0.6900367201990616,64,410,0.28125,7.0,0.109375,9.142857142857142
2,128,1.0,0,early,0.454651328433365,2.6163200009024177,6.845130347122026,64,1222,0.171875,14.0,0.21875,4.571428571428571
2,128,1.0,0,late,0.8631919960732046,1.1708222285634178,1.370824690898208,64,451,0.234375,8.0,0.125,8.0
2,128,1.0,1,early,0.48023114709993747,2.4643757657787075,6.073147914957391,64,1145,0.21875,12.0,0.1875,5.333333333333333
2,128,1.0,1,late,0.8679190397497987,1.1640867626863205,1.355097991061518,64,397,0.265625,9.0,0.140625,7.111111111111111
2,128,1.0,2,early,0.4699193080383981,2.5143306106050662,6.321858419425645,64,1157,0.1875,13.0,0.203125,4.923076923076923
2,128,1.0,2,late,0.8724929606297553,1.1559774656983655,1.3362839012024157,64,416,0.28125,7.0,0.109375,9.142857142857142
2,128,1.0,3,early,0.49077077885686027,2.55477293848233,6.526864767201639,64,1197,0.203125,15.0,0.234375,4.266666666666667
2,128,1.0,3,late,0.8559216214770775,1.181069952520461,1.3949262327466843,64,396,0.265625,6.0,0.09375,10.666666666666666
2,128,1.0,4,early,0.4732475718102167,2.661248977280107,7.082246119074416,64,1184,0.203125,14.0,0.21875,4.571428571428571
2,128,1.0,4,late,0.8562972030013063,1.1798670456216755,1.392086245344021,64,447,0.25,8.0,0.125,8.0
2,128,1.0,5,early,0.5063868585785434,2.3004077460956625,5.291875798296926,64,1102,0.203125,13.0,0.203125,4.923076923076923
2,128,1.0,5,late,0.8846318707306118,1.1402366220289029,1.3001395542158831,64,379,0.296875,6.0,0.09375,10.666666666666666
2,128,1.0,6,early,0.47909717411265124,2.589451251207149,6.705257782378268,64,1146,0.1875,13.0,0.203125,4.923076923076923
2,128,1.0,6,late,0.8631656035731863,1.1702557419240598,1.3694985015062315,64,398,0.296875,8.0,0.125,8.0
2,128,1.0,7,early,0.47904646152715524,2.503654270981979,6.268284708606306,64,1225,0.140625,13.0,0.203125,4.923076923076923
2,128,1.0,7,late,0.8827808522420233,1.1403858171794234,1.3004798120239813,64,347,0.265625,8.0,0.125,8.0
2,128,1.5,0,early,0.587026468877965,2.754092814770636,7.585027232371244,64,1007,0.203125,15.0,0.234375,4.266666666666667
2,128,1.5,0,late,0.8883686183877846,1.6967446372831323,2.878942364149068,64,289,0.34375,6.0,0.09375,10.666666666666666
2,128,1.5,1,early,0.5677389480207138,3.0267968083553747,9.161498919070283,64,1018,0.21875,15.0,0.234375,4.266666666666667
2,128,1.5,1,late,0.8827997779662752,1.7116481748458643,2.9297394744531786,64,381,0.3125,6.0,0.09375,10.666666666666666
2,128,1.5,2,early,0.5966291198024025,2.7964259424763207,7.819998051754578,64,1078,0.21875,14.0,0.21875,4.571428571428571
2,128,1.5,2,late,0.8988667813207815,1.6745584738248125,2.804146082258485,64,273,0.328125,7.0,0.109375,9.142857142857142
2,128,1.5,3,early,0.5381064508584076,3.199497301274949,10.236782980865682,64,1325,0.171875,15.0,0.234375,4.266666666666667
2,128,1.5,3,late,0.9112805980903143,1.65416810320664,2.7362721136662533,64,328,0.359375,7.0,0.109375,9.142857142857142
2,128,1.5,4,early,0.5703303248161644,2.9041115259656394,8.433863755246474,64,1079,0.203125,15.0,0.234375,4.266666666666667
2,128,1.5,4,late,0.88987091728997,1.6963032126376048,2.877444589204659,64,347,0.296875,6.0,0.09375,10.666666666666666
2,128,1.5,5,early,0.5794478363969344,2.8543871301097883,8.147525888536393,64,1129,0.15625,15.0,0.234375,4.266666666666667
2,128,1.5,5,late,0.8948319808028065,1.6837388549374888,2.834976531626206,64,294,0.359375,6.0,0.09375,10.666666666666666
2,128,1.5,6,early,0.5697505453116893,2.940118158798445,8.644294787696358,64,1114,0.21875,14.0,0.21875,4.571428571428571
2,128,1.5,6,late,0.8835021223042001,1.707025872368384,2.9139373289350425,64,352,0.296875,7.0,0.109375,9.142857142857142
2,128,1.5,7,early,0.575441834932648,2.8696907853860933,8.235125203729853,64,1032,0.28125,12.0,0.1875,5.333333333333333
2,128,1.5,7,late,0.8907471330090332,1.6934626341057153,2.867815693112268,64,314,0.3125,6.0,0.09375,10.666666666666666
2,128,2.0,0,early,0.5947214197616046,3.7890848578279295,14.357164059820901,64,1359,0.203125,15.0,0.234375,4.266666666666667
2,128,2.0,0,late,0.9052383358180687,2.2170058362974623,4.91511487817701,64,262,0.3125,6.0,0.09375,10.666666666666666
2,128,2.0,1,early,0.5957945692036577,3.81847541437827,14.580754490211302,64,1212,0.234375,16.0,0.25,4.0
2,128,2.0,1,late,0.8987826523634538,2.238797722716246,5.0122152432394484,64,351,0.296875,7.0,0.109375,9.142857142857142
2,128,2.0,2,early,0.6126101002847781,3.574154520704109,12.774580537869621,64,1218,0.234375,18.0,0.28125,3.5555555555555554
2,128,2.0,2,late,0.9093101981476421,2.2063396081997952,4.867934466711226,64,264,0.3125,6.0,0.09375,10.666666666666666
