d,N,p_frw,rep,H_eff_sq,R_eff,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,b1_mean,b1_std,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread
2,128,1.0,5,1.0,4.017549487961579,4450,0.1484375,19.0,0.1484375,6.7368421052631575,3.836694098654231,0.5695092802689875,0.1015625,2.7648398322736445,-0.6875,3.7285846845686637,0.5546875,-5.845128009985484,9.584786855977173,0.42036941369178216,15.429914865962658
2,128,1.0,6,1.0,5.348753379548154,4551,0.1484375,20.0,0.15625,6.4,3.954743986657038,0.6179287479151622,0.125,2.8023196227843346,-0.734375,4.318355399845524,0.6015625,-6.107035127418824,10.060984915739754,1.012961239074718,16.168020043158577
2,128,1.0,7,1.0,4.579146819607777,4587,0.1328125,19.0,0.1484375,6.7368421052631575,3.192789660653285,0.473929715253222,0.09375,2.829554724582047,-0.078125,3.9043432846478803,0.5390625,-5.7357669604704595,9.5300419357845,0.6301063901440465,15.26580889625496
2,128,1.5,0,2.25,7.563443204224059,4044,0.171875,20.0,0.15625,6.4,4.066939881532551,0.635459356489461,0.109375,2.778880892702556,-0.8125,4.103637867794867,0.609375,-6.2884598933867855,10.365076456173748,1.2137792126987517,16.653536349560532
2,128,1.5,1,2.25,10.254020199084177,4062,0.15625,20.0,0.15625,6.4,4.091454509095757,0.639289767046212,0.109375,2.7569223577446493,-0.96875,4.337225315509905,0.5546875,-6.552816492585787,9.444676570979716,0.5132131879965538,15.997493063565503
2,128,1.5,2,2.25,8.033423365839397,3949,0.1640625,21.0,0.1640625,6.095238095238095,3.9509463833698173,0.6482021410216107,0.109375,2.8212856862531943,-1.21875,4.410458982634347,0.5859375,-7.15321380772583,10.205932461653521,0.8890605143333854,17.35914626937935
2,128,1.5,3,2.25,10.052031770264236,4780,0.1796875,21.0,0.1640625,6.095238095238095,4.057969958169466,0.6657606962621782,0.125,2.832953695302962,-1.046875,4.223926222648189,0.6328125,-7.01569886717078,10.271419192857767,1.1687137165227401,17.287118060028547
2,128,1.5,4,2.25,8.436938876037424,4314,0.1484375,21.0,0.1640625,6.095238095238095,3.6891702758564886,0.6052544983827052,0.09375,2.836788774697503,-1.203125,5.19518914327236,0.546875,-6.588020848363831,9.807824739057754,0.49967924641321737,16.395845587421583
2,128,1.5,5,2.25,8.216438807121332,4297,0.1796875,20.0,0.15625,6.4,4.1521078984053394,0.6487668591258342,0.1171875,2.7724635026615294,-0.21875,3.6677170607204697,0.546875,-5.958679684981461,9.900707096419367,1.0186348713604065,15.85938678140083
2,128,1.5,6,2.25,8.657775950241259,4191,0.1484375,21.0,0.1640625,6.095238095238095,4.150786063303029,0.6809883385106532,0.109375,2.8121797214485067,-0.109375,3.998504359054145,0.5234375,-7.15027740696598,10.1914898173589,0.3940217710632883,17.34176722432488
2,128,1.5,7,2.25,8.280646354990438,4157,0.15625,17.0,0.1328125,7.529411764705882,4.160283461196923,0.5525376471902164,0.1328125,2.664113644336911,-1.4375,5.367363761661771,0.5703125,-7.519737242892004,10.440871401642054,1.284680078266602,17.96060864453406
2,128,2.0,0,4.0,16.843760500909383,4453,0.15625,20.0,0.15625,6.4,4.498888751680797,0.7029513674501244,0.1484375,2.7689642172711877,-0.984375,3.695403341906672,0.6171875,-6.107251391110241,9.247284820682383,0.6983972305920787,15.354536211792624
2,128,2.0,1,4.0,17.547510176166313,4301,0.1484375,22.0,0.171875,5.818181818181818,4.260136186858176,0.732210907116249,0.109375,2.824466492730494,-0.125,4.005855089740517,0.4921875,-6.339000279087536,9.6874983659783,0.41803235296968566,16.026498645065836
2,128,2.0,2,4.0,14.573554576550858,4271,0.15625,23.0,0.1796875,5.565217391304348,3.5609730833814384,0.6398623509201022,0.09375,2.927554480434708,-0.8125,4.17161164899131,0.5234375,-5.786367340488103,9.119357083605445,0.25538015669637915,14.905724424093549
