d,N,hubble,rep,R_dS,H2,rho_est,n_causal_pairs,b1_mean,b1_std,b1_median,b1_min,b1_max,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread,R_est
2,512,0.0,4,0.0,0.0,-1.09765625,67338,-1.09765625,5.817389943680579,-1.0,-19.0,19.0,0.564453125,-8.177630983070232,12.045590291808772,0.5312342675392419,20.223221274879002,2.1953125
2,512,0.0,5,0.0,0.0,-1.34375,64337,-1.34375,5.320123206984966,-1.0,-17.0,21.0,0.591796875,-8.056269207152955,11.973639927255409,0.6243766913198652,20.029909134408364,2.6875
2,512,0.0,6,0.0,0.0,-1.00390625,67780,-1.00390625,5.301089250447585,-1.0,-19.0,17.0,0.5703125,-7.870372077095461,11.545480313184294,0.23493772572494365,19.415852390279756,2.0078125
2,512,0.0,7,0.0,0.0,-0.4609375,64378,-0.4609375,5.36831320072644,-1.0,-17.0,17.0,0.544921875,-8.019439989062045,11.960891888657171,0.6110199501736062,19.980331877719216,0.921875
2,512,0.25,0,0.125,0.0625,-1.08203125,59353,-1.08203125,5.259023994433134,-1.0,-19.0,15.0,0.59375,-8.366499877155851,11.83484139714557,0.43872713478294045,20.20134127430142,2.1640625
2,512,0.25,1,0.125,0.0625,-0.92578125,59755,-0.92578125,5.615474519321447,-1.0,-17.0,15.0,0.54296875,-9.420464899629888,12.725639988219525,1.002998682672791,22.14610488784941,1.8515625
2,512,0.25,2,0.125,0.0625,-0.6796875,57440,-0.6796875,5.4291366627064885,-1.0,-17.0,17.0,0.54296875,-8.405777841815842,12.086594870982488,0.686336389468071,20.49237271279833,1.359375
2,512,0.25,3,0.125,0.0625,-0.69921875,58705,-0.69921875,5.513775307323326,-1.0,-19.0,15.0,0.55078125,-7.994287614818811,11.592723324886256,0.1864493175738282,19.587010939705067,1.3984375
2,512,0.25,4,0.125,0.0625,-0.40234375,57432,-0.40234375,5.320420049849066,-1.0,-21.0,15.0,0.501953125,-7.547016652642075,11.279448305317915,0.2609432147242483,18.826464957959992,0.8046875
2,512,0.25,5,0.125,0.0625,-0.9609375,60293,-0.9609375,5.801269181919914,-1.0,-19.0,17.0,0.55859375,-8.828832814061329,12.013322972987227,0.18326720143323172,20.842155787048554,1.921875
