N,lambda,action_key,focus_family,control_family,mean_score_focus,mean_score_control,win_rate_focus_vs_control,mean_f5_focus,mean_f5_control,mean_action_focus,mean_action_control
28,3.0,bdg_d4_standard_norm,Lor4D,KR_like,-127.03076614940314,-86.27047804099257,1.0,125.03523043511743,95.29726375527828,0.6651785714285714,-3.008928571428571
28,5.0,bdg_d4_standard_norm,Lor4D,KR_like,-128.3611232922603,-80.25262089813543,1.0,125.03523043511743,95.29726375527828,0.6651785714285714,-3.008928571428571
28,7.0,bdg_d4_standard_norm,Lor4D,KR_like,-129.69148043511743,-74.23476375527828,1.0,125.03523043511743,95.29726375527828,0.6651785714285714,-3.008928571428571
28,10.0,bdg_d4_standard_norm,Lor4D,KR_like,-131.68701614940312,-65.20797804099257,1.0,125.03523043511743,95.29726375527828,0.6651785714285714,-3.008928571428571
28,15.0,bdg_d4_standard_norm,Lor4D,KR_like,-135.012909006546,-50.16333518384971,1.0,125.03523043511743,95.29726375527828,0.6651785714285714,-3.008928571428571
28,20.0,bdg_d4_standard_norm,Lor4D,KR_like,-138.33880186368884,-35.11869232670686,1.0,125.03523043511743,95.29726375527828,0.6651785714285714,-3.008928571428571
28,30.0,bdg_d4_standard_norm,Lor4D,KR_like,-144.99058757797457,-5.029406612421145,1.0,125.03523043511743,95.29726375527828,0.6651785714285714,-3.008928571428571
28,50.0,bdg_d4_standard_norm,Lor4D,KR_like,-158.294159006546,55.149164816150275,1.0,125.03523043511743,95.29726375527828,0.6651785714285714,-3.008928571428571
36,0.0,bdg_d4_standard_norm,Lor4D,KR_like,-165.29320283821744,-135.30411037049961,1.0,165.29320283821744,135.30411037049961,0.027777777777777846,-2.739583333333333
36,1.0,bdg_d4_standard_norm,Lor4D,KR_like,-165.3209806159952,-132.5645270371663,1.0,165.29320283821744,135.30411037049961,0.027777777777777846,-2.739583333333333
36,2.0,bdg_d4_standard_norm,Lor4D,KR_like,-165.34875839377298,-129.82494370383296,1.0,165.29320283821744,135.30411037049961,0.027777777777777846,-2.739583333333333
36,3.0,bdg_d4_standard_norm,Lor4D,KR_like,-165.37653617155078,-127.08536037049963,1.0,165.29320283821744,135.30411037049961,0.027777777777777846,-2.739583333333333
36,5.0,bdg_d4_standard_norm,Lor4D,KR_like,-165.43209172710635,-121.60619370383296,1.0,165.29320283821744,135.30411037049961,0.027777777777777846,-2.739583333333333
36,7.0,bdg_d4_standard_norm,Lor4D,KR_like,-165.4876472826619,-116.1270270371663,1.0,165.29320283821744,135.30411037049961,0.027777777777777846,-2.739583333333333
36,10.0,bdg_d4_standard_norm,Lor4D,KR_like,-165.5709806159952,-107.9082770371663,1.0,165.29320283821744,135.30411037049961,0.027777777777777846,-2.739583333333333
36,15.0,bdg_d4_standard_norm,Lor4D,KR_like,-165.70986950488413,-94.21036037049963,1.0,165.29320283821744,135.30411037049961,0.027777777777777846,-2.739583333333333
36,20.0,bdg_d4_standard_norm,Lor4D,KR_like,-165.84875839377298,-80.51244370383296,0.875,165.29320283821744,135.30411037049961,0.027777777777777846,-2.739583333333333
36,30.0,bdg_d4_standard_norm,Lor4D,KR_like,-166.12653617155078,-53.11661037049963,0.875,165.29320283821744,135.30411037049961,0.027777777777777846,-2.739583333333333
36,50.0,bdg_d4_standard_norm,Lor4D,KR_like,-166.68209172710635,1.6750562961670354,0.875,165.29320283821744,135.30411037049961,0.027777777777777846,-2.739583333333333
16,0.0,bd_d4_trunc_norm,Lor4D,KR_like,-71.42480945612216,-41.67606865993212,1.0,71.42480945612216,41.67606865993212,0.26642885307274605,-0.9668211910368403
16,1.0,bd_d4_trunc_norm,Lor4D,KR_like,-71.69123830919492,-40.70924746889528,1.0,71.42480945612216,41.67606865993212,0.26642885307274605,-0.9668211910368403
16,2.0,bd_d4_trunc_norm,Lor4D,KR_like,-71.95766716226765,-39.74242627785844,1.0,71.42480945612216,41.67606865993212,0.26642885307274605,-0.9668211910368403
16,3.0,bd_d4_trunc_norm,Lor4D,KR_like,-72.22409601534041,-38.7756050868216,1.0,71.42480945612216,41.67606865993212,0.26642885307274605,-0.9668211910368403
16,5.0,bd_d4_trunc_norm,Lor4D,KR_like,-72.7569537214859,-36.841962704747914,1.0,71.42480945612216,41.67606865993212,0.26642885307274605,-0.9668211910368403
16,7.0,bd_d4_trunc_norm,Lor4D,KR_like,-73.28981142763139,-34.908320322674236,1.0,71.42480945612216,41.67606865993212,0.26642885307274605,-0.9668211910368403
16,10.0,bd_d4_trunc_norm,Lor4D,KR_like,-74.08909798684962,-32.007856749563715,1.0,71.42480945612216,41.67606865993212,0.26642885307274605,-0.9668211910368403
16,15.0,bd_d4_trunc_norm,Lor4D,KR_like,-75.42124225221335,-27.173750794379515,1.0,71.42480945612216,41.67606865993212,0.26642885307274605,-0.9668211910368403
16,20.0,bd_d4_trunc_norm,Lor4D,KR_like,-76.75338651757708,-22.339644839195312,1.0,71.42480945612216,41.67606865993212,0.26642885307274605,-0.9668211910368403
16,30.0,bd_d4_trunc_norm,Lor4D,KR_like,-79.41767504830455,-12.67143292882691,1.0,71.42480945612216,41.67606865993212,0.26642885307274605,-0.9668211910368403
