rs,N,rep,r_min_factor,r_max_factor,mean_K,median_K,std_K,max_K,n_causal_pairs,C_0,C_1,C_2,C_3,C_4,bd_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
0.25,512,0,1.5,10.0,8.611464753464123,0.06634026931724511,29.977503914739994,257.48176524439936,108430,2130,1658,1510,1327,1207,0.01628241193737769,62.0,0.12109375,8.258064516129032,2.213852895067547,0.26808374901208576,0.02734375,4.089171368938693
0.25,512,1,1.5,10.0,10.428727769145292,0.08947219454998676,34.49586983842781,267.5259481413847,109119,2096,1676,1471,1330,1190,0.016022504892367905,62.0,0.12109375,8.258064516129032,2.7234672153813464,0.3297948581125849,0.029296875,4.066548771706987
0.25,512,2,1.5,10.0,8.347107487947063,0.09300052797997553,30.046575607140813,231.30062480390202,109943,2072,1650,1499,1335,1244,0.015839041095890412,62.0,0.12109375,8.258064516129032,1.9338702951383049,0.2341796060519041,0.025390625,4.0989927042603576
0.25,512,3,1.5,10.0,10.138598139667463,0.11560545566351796,29.50383247840573,223.6122432056416,108988,2138,1630,1460,1278,1211,0.016343566536203523,59.0,0.115234375,8.677966101694915,2.4800265031805653,0.2857843040774479,0.029296875,4.031804135428252
0.25,512,4,1.5,10.0,8.275396687260859,0.07554849357434948,29.672753563104973,253.59137979084005,109056,2199,1704,1521,1282,1222,0.01680987035225049,61.0,0.119140625,8.39344262295082,2.6935179539069996,0.3209074124772011,0.033203125,4.049729345534103
0.25,512,5,1.5,10.0,9.442931010604948,0.09377613718957649,32.42673619428601,267.7211780483943,108397,2132,1602,1457,1275,1237,0.01629770058708415,67.0,0.130859375,7.641791044776119,2.5492257679615604,0.3335900907293448,0.025390625,4.143687649045101
0.25,512,6,1.5,10.0,8.520310334536918,0.06446568903517333,30.77606598984813,236.00754096056517,109191,2126,1681,1475,1293,1257,0.016251834637964774,64.0,0.125,8.0,2.4173849507267144,0.3021731188408393,0.025390625,4.106597430467268
0.25,512,7,1.5,10.0,12.271572001275974,0.07470030436418428,39.390657603738404,263.873045523932,108160,2181,1663,1471,1379,1236,0.01667227250489237,62.0,0.12109375,8.258064516129032,2.0630034781057396,0.24981682742686692,0.025390625,4.095144641941065
0.25,512,8,1.5,10.0,9.816208872724076,0.04866805481807713,36.762541627701026,265.47863131570074,109330,2115,1703,1491,1305,1178,0.016167747064579255,63.0,0.123046875,8.126984126984127,2.126865668343118,0.26170417403440716,0.025390625,4.108567450480716
0.25,512,9,1.5,10.0,9.555591762589568,0.09761176836099908,31.324857676612417,232.66463991836198,108356,2067,1665,1496,1267,1283,0.015800819471624265,58.0,0.11328125,8.827586206896552,2.0689655172413794,0.23437500000000003,0.02734375,4.030894824233552
0.5,128,0,1.5,10.0,0.5230455400424423,0.002797555152002723,2.0895261203788476,15.271387584051572,5649,429,258,286,206,205,0.052780511811023625,23.0,0.1796875,5.565217391304348,1.8374388355752556,0.3301647907674287,0.078125,3.076101701415788
0.5,128,1,1.5,10.0,0.7943311616663669,0.016055202829743022,2.3099637912515347,16.583958568852527,5645,408,318,274,221,202,0.05019685039370079,21.0,0.1640625,6.095238095238095,1.7969487870584007,0.29481191037676885,0.0703125,2.9944887760385996
0.5,128,2,1.5,10.0,0.4735888326457078,0.005572356767931046,1.685718574967041,11.862171854116477,5648,412,280,242,214,219,0.050688976377952756,21.0,0.1640625,6.095238095238095,1.8999940326914286,0.3117177709884375,0.078125,2.9927413736754858
0.5,128,3,1.5,10.0,0.6894105759339205,0.006951649240334167,2.2463669649756834,14.056570127302532,5619,442,288,264,236,227,0.05437992125984252,20.0,0.15625,6.4,1.8275666882497068,0.28555729503901667,0.078125,2.953859169233101
0.5,128,4,1.5,10.0,0.6577644280694407,0.00210317083698764,2.3570563453484326,16.628961406302064,5377,407,325,242,224,187,0.0500738188976378,21.0,0.1640625,6.095238095238095,1.7969487870584007,0.29481191037676885,0.0625,2.992399244582218
0.5,128,5,1.5,10.0,0.617559242986963,0.003731761806665278,2.509506483673735,16.537365660848547,5740,413,328,247,232,189,0.05081200787401575,22.0,0.171875,5.818181818181818,1.695887100561603,0.2914805954090255,0.0703125,3.046995960950076
0.5,128,6,1.5,10.0,0.39978457476075063,0.0035264060390904784,1.792668489080434,13.990338047535593,5705,381,307,253,231,200,0.046875,25.0,0.1953125,5.12,1.557433786714543,0.30418628646768414,0.0703125,3.172055609294704
0.5,128,7,1.5,10.0,0.24978525661895915,0.003905953847714988,0.8115071917861337,5.663181696249403,5781,446,302,240,231,214,0.05487204724409449,20.0,0.15625,6.4,1.624807680927192,0.2538762001448737,0.078125,2.9640237770200173
0.5,128,8,1.5,10.0,0.45775539406416343,0.004230203665954044,2.0245568165666223,13.683641002092918,5629,442,323,260,208,198,0.05437992125984252,22.0,0.171875,5.818181818181818,2.2690879953361245,0.3899994991983964,0.078125,3.0056708189543
0.5,128,9,1.5,10.0,0.656394889620868,0.005896646949412023,1.72125779146268,12.414755725960491,5480,426,325,262,220,206,0.05241141732283464,20.0,0.15625,6.4,2.33238075793812,0.36443449342783124,0.09375,2.9297942782789677
0.5,256,0,1.5,10.0,0.6000382181608135,0.004484670808676169,2.155812656386329,15.776403125673323,22707,1008,766,643,585,512,0.030882352941176472,33.0,0.12890625,7.757575757575758,2.486695544112563,0.3205505974832601,0.0546875,3.439712352355317
