family,N,rep,seed,log_H,f5_calibrated,bdg_d2_link_norm,bdg_d2_corrected_norm,bdg_d4_standard_norm,bd_d4_trunc_norm,bd_ratio,C0,C1,C2,C3,total_relations
Lor4D,36,5,8642,74.77194727241397,171.48406756207876,-3.6666666666666665,-3.0,1.8888888888888888,-0.5422713195301493,0.17055393586005835,84,12,0,1,98
Lor4D,36,6,9642,73.0540651066681,159.98488542466444,-5.555555555555555,-4.666666666666667,-0.9444444444444444,-1.4646100498373957,0.18857142857142856,118,16,6,0,140
Lor4D,36,7,10642,72.42256237825342,160.12241257793727,-6.055555555555555,-5.444444444444445,-1.3333333333333333,-1.7745763444488474,0.21683259506162014,127,11,5,3,151
Lor5D,36,0,3642,78.24591685703281,181.23962373421992,-3.5,-3.3333333333333335,-0.5,-0.746395464762081,0.03698979591836733,81,3,0,0,84
Lor5D,36,1,4642,82.21117830811652,194.86289498020082,-2.0555555555555554,-1.9444444444444444,-0.027777777777777776,-0.1869441037560463,0.03631886734379809,55,2,0,0,57
Lor5D,36,2,5642,78.73916324001472,178.86622873159064,-3.2222222222222223,-2.5,1.25,-0.4213088630964123,0.19562854727689888,76,13,2,0,91
Lor5D,36,3,6642,75.95328533962913,173.49581988213126,-4.5,-4.222222222222222,-0.7222222222222222,-1.139523448171727,0.07226771092915626,99,5,1,1,106
Lor5D,36,4,7642,80.31554350412063,190.94720554531412,-2.8333333333333335,-2.8333333333333335,-0.9166666666666666,-0.5649517801114752,0.0,69,0,0,0,69
Lor5D,36,5,8642,82.05213052073421,195.62101406186645,-1.7222222222222223,-1.6111111111111112,0.1388888888888889,-0.05086134026809194,0.040753556324490556,49,2,0,0,51
Lor5D,36,6,9642,77.9148817019231,180.5807436172987,-3.2777777777777777,-3.0555555555555554,-0.1388888888888889,-0.6254330083283438,0.05182136869379667,77,4,0,0,81
Lor5D,36,7,10642,77.14652979782959,179.02278236632523,-3.5,-3.2222222222222223,0.0,-0.6859142365452124,0.06151974040021633,81,5,0,0,86
KR_like,36,0,3642,64.24466196908143,135.56959907971816,-7.555555555555555,-7.277777777777778,-2.0277777777777777,-2.6591143071205505,0.8152531229454306,154,5,7,14,234
KR_like,36,1,4642,64.08875928411454,134.47079939171263,-8.555555555555555,-8.444444444444445,-6.166666666666667,-3.2941672033976706,0.8541767563936323,172,2,10,7,253
KR_like,36,2,5642,64.45533800209195,135.2827712930559,-8.277777777777779,-8.055555555555555,-5.75,-3.2110055145994765,0.8270681581685745,167,4,12,10,248
KR_like,36,3,6642,64.02441279248671,134.9292973832747,-7.888888888888889,-7.611111111111111,-1.5277777777777777,-2.840557991771156,0.831184036087533,160,5,8,19,241
KR_like,36,4,7642,63.80095222924163,133.2134097673078,-9.61111111111111,-9.61111111111111,-3.4166666666666665,-3.377328892195865,0.8441149437716264,191,0,1,6,272
KR_like,36,5,8642,64.32052214810841,134.73348582955515,-8.777777777777779,-8.777777777777779,-1.0,-3.0824829046386304,0.8351526896697905,176,0,2,17,257
KR_like,36,6,9642,64.59919931208094,136.42723105629614,-7.388888888888889,-7.111111111111111,-2.1666666666666665,-2.772516610027179,0.8111437277051129,151,5,11,21,232
KR_like,36,7,10642,65.08392629204783,137.80628916307654,-6.944444444444445,-6.5,0.1388888888888889,-2.409629240725968,0.8030801071341613,143,8,9,23,222
