N,lambda,action_field,beta_entropy,entropy_sign,action_sign,focus_lor,mean_score_focus,mean_score_kr,win_rate_focus_vs_kr,lambda_cross_mean_focus_vs_kr,mean_f5_focus,mean_f5_kr,win_rate_f5_focus_vs_kr,agreement_rate_score_vs_f5
16,4.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-15.196123306463498,-11.302346544100253,0.75,1.7447808797172153,31.810854423610923,41.67606865993212,1.0,0.75
16,6.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-14.805498306463498,-7.458596544100253,0.75,1.7447808797172153,31.810854423610923,41.67606865993212,1.0,0.75
16,8.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-14.414873306463498,-3.614846544100253,0.75,1.7447808797172153,31.810854423610923,41.67606865993212,1.0,0.75
16,10.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-14.024248306463498,0.22890345589974714,0.75,1.7447808797172153,31.810854423610923,41.67606865993212,1.0,0.75
16,12.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-13.6336233064635,4.072653455899747,0.75,1.7447808797172153,31.810854423610923,41.67606865993212,1.0,0.75
16,14.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-13.2429983064635,7.916403455899747,0.75,1.7447808797172153,31.810854423610923,41.67606865993212,1.0,0.75
16,16.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-12.852373306463502,11.760153455899747,0.75,1.7447808797172153,31.810854423610923,41.67606865993212,1.0,0.75
16,18.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-12.461748306463502,15.603903455899747,0.75,1.7447808797172153,31.810854423610923,41.67606865993212,1.0,0.75
16,20.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-12.071123306463502,19.447653455899747,0.75,1.7447808797172153,31.810854423610923,41.67606865993212,1.0,0.75
20,0.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-21.479102955691083,-27.150899454348938,0.0,9.07487439785257,42.78131114512608,58.96394888290842,1.0,0.0
20,2.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-23.12910295569108,-27.55089945434894,0.25,9.07487439785257,42.78131114512608,58.96394888290842,1.0,0.25
20,4.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-24.77910295569108,-27.950899454348942,0.5,9.07487439785257,42.78131114512608,58.96394888290842,1.0,0.5
20,6.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-26.429102955691082,-28.350899454348944,0.5,9.07487439785257,42.78131114512608,58.96394888290842,1.0,0.5
20,8.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-28.07910295569108,-28.75089945434894,0.5,9.07487439785257,42.78131114512608,58.96394888290842,1.0,0.5
20,10.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-29.729102955691083,-29.15089945434894,0.5,9.07487439785257,42.78131114512608,58.96394888290842,1.0,0.5
20,12.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-31.37910295569108,-29.550899454348944,0.5,9.07487439785257,42.78131114512608,58.96394888290842,1.0,0.5
20,14.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-33.02910295569109,-29.950899454348942,0.5,9.07487439785257,42.78131114512608,58.96394888290842,1.0,0.5
20,16.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-34.67910295569108,-30.350899454348944,0.5,9.07487439785257,42.78131114512608,58.96394888290842,1.0,0.5
20,18.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-36.329102955691084,-30.75089945434894,0.5,9.07487439785257,42.78131114512608,58.96394888290842,1.0,0.5
20,20.0,bdg_d4_standard_norm,1.0,-1.0,-1.0,Lor2D,-37.979102955691076,-31.15089945434894,0.5,9.07487439785257,42.78131114512608,58.96394888290842,1.0,0.5
