stage,n,n_cg,family,sample_id,keep_ratio,cg_repeat,gamma,beta,action_mode,entropy_method,log_H,penalty_local,score_local,penalty_global_consistency,score_augmented,score_augmented_full,sig_comp,sig_d_eff,sig_height_ratio,sig_width_ratio,sig_degree_var,sig_interval_empty,sig_interval_size_ratio,base_family_rank
original,30,30,transitive_percolation,3,1.0,0,0.2,1.0,A2,sis,49.93488959629278,26.1134934420729,-44.712190907878195,0.0,-44.712190907878195,-44.712190907878195,0.2045977011494253,3.777813793103448,0.2,0.36666666666666664,0.014220987654320992,0.40625,0.033854166666666664,4
original,30,30,transitive_percolation,3,1.0,0,0.8,1.0,A2,sis,49.93488959629278,26.1134934420729,-29.044094842634454,0.0,-29.044094842634454,-29.044094842634454,0.2045977011494253,3.777813793103448,0.2,0.36666666666666664,0.014220987654320992,0.40625,0.033854166666666664,5
original,30,30,multi_layer_random,0,1.0,0,0.2,1.0,A2,sis,47.90522382999533,7.200499275619821,-46.46512397487137,0.0,-46.46512397487137,-46.46512397487137,0.3586206896551724,2.8536758620689655,0.13333333333333333,0.3,0.033214814814814815,0.359375,0.0453125,2
original,30,30,multi_layer_random,0,1.0,0,0.8,1.0,A2,sis,47.90522382999533,7.200499275619821,-42.14482440949947,0.0,-42.14482440949947,-42.14482440949947,0.3586206896551724,2.8536758620689655,0.13333333333333333,0.3,0.033214814814814815,0.359375,0.0453125,1
original,30,30,multi_layer_random,1,1.0,0,0.2,1.0,A2,sis,46.23555267913556,2.8844356321814213,-45.658665552699276,0.0,-45.658665552699276,-45.658665552699276,0.4160919540229885,2.508848275862069,0.16666666666666666,0.3,0.03966543209876542,0.3125,0.0484375,2
original,30,30,multi_layer_random,1,1.0,0,0.8,1.0,A2,sis,46.23555267913556,2.8844356321814213,-43.92800417339042,0.0,-43.92800417339042,-43.92800417339042,0.4160919540229885,2.508848275862069,0.16666666666666666,0.3,0.03966543209876542,0.3125,0.0484375,1
original,30,30,multi_layer_random,2,1.0,0,0.2,1.0,A2,sis,50.01944612519608,14.895870207222739,-47.04027208375153,0.0,-47.04027208375153,-47.04027208375153,0.2942528735632184,3.2398827586206895,0.13333333333333333,0.4,0.025328395061728397,0.40625,0.034375,2
original,30,30,multi_layer_random,2,1.0,0,0.8,1.0,A2,sis,50.01944612519608,14.895870207222739,-38.10274995941789,0.0,-38.10274995941789,-38.10274995941789,0.2942528735632184,3.2398827586206895,0.13333333333333333,0.4,0.025328395061728397,0.40625,0.034375,1
original,30,30,multi_layer_random,3,1.0,0,0.2,1.0,A2,sis,51.761100781311974,11.052584780735398,-49.55058382516489,0.0,-49.55058382516489,-49.55058382516489,0.31724137931034485,3.101951724137931,0.16666666666666666,0.36666666666666664,0.028562962962962964,0.46875,0.033854166666666664,2
original,30,30,multi_layer_random,3,1.0,0,0.8,1.0,A2,sis,51.761100781311974,11.052584780735398,-42.919032956723655,0.0,-42.919032956723655,-42.919032956723655,0.31724137931034485,3.101951724137931,0.16666666666666666,0.36666666666666664,0.028562962962962964,0.46875,0.033854166666666664,1
