scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,count
1.660,1.66,48,0.6,lorentzian_like_2d,-69.67047563078359,4.237416970179632,1.89343764527549,70.80653821794888,2
1.660,1.66,48,0.8,KR_like,-85.07956317598251,0.3647317434244804,14.909488655678176,97.00715410052504,2
1.660,1.66,48,0.8,lorentzian_like_2d,-69.29178810172849,4.361635160131415,1.89343764527549,70.80653821794888,2
1.660,1.66,48,1.0,KR_like,-82.09766544484688,0.4285648185767547,14.909488655678176,97.00715410052504,2
1.660,1.66,48,1.0,lorentzian_like_2d,-68.91310057267339,4.485853350083219,1.89343764527549,70.80653821794888,2
1.660,1.66,48,1.5,KR_like,-74.64292111700777,0.5881475064574505,14.909488655678176,97.00715410052504,2
1.660,1.66,48,1.5,lorentzian_like_2d,-67.96638175003565,4.796398824962692,1.89343764527549,70.80653821794888,2
1.660,1.66,48,2.0,KR_like,-67.1881767891687,0.7477301943381163,14.909488655678176,97.00715410052504,2
1.660,1.66,48,2.0,lorentzian_like_2d,-67.01966292739789,5.106944299842169,1.89343764527549,70.80653821794888,2
1.670,1.67,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,14.946567040717234,97.00715410052504,2
1.670,1.67,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.9015668682553502,70.80653821794888,2
1.670,1.67,48,0.1,KR_like,-95.51249739645333,0.14150746679374707,14.946567040717234,97.00715410052504,2
