config,n,gamma,lor4d_rank,lor4d_raw_score,top1_family,top1_score,gap_to_top1,interval_weight,total_families
interval_10.0,20,0.5,1,-30.13698748839518,lorentzian_like_4d,-30.13698748839518,0.0,10.0,17
interval_10.0,20,1.0,3,-26.642989580147127,transitive_percolation,-28.292836240946535,1.6498466607994082,10.0,17
interval_10.0,20,2.0,13,-19.654993763651014,transitive_percolation,-24.937965007139756,5.282971243488742,10.0,17
interval_10.0,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,10.0,17
interval_10.0,40,0.2,3,-85.1863223061453,lorentzian_like_5d,-90.35433361850511,5.168011312359809,10.0,17
interval_10.0,40,0.5,3,-83.67202370615843,lorentzian_like_5d,-87.87461711456004,4.202593408401611,10.0,17
interval_10.0,40,1.0,2,-81.1481927061803,lorentzian_like_5d,-83.7417562746516,2.5935635684713105,10.0,17
interval_10.0,40,2.0,1,-76.10053070622403,lorentzian_like_4d,-76.10053070622403,0.0,10.0,17
uniform_0.5x,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,2.5,17
uniform_0.5x,10,0.2,3,-11.761468760978971,transitive_percolation,-12.199255080952629,0.43778631997365736,2.5,17
uniform_0.5x,10,0.5,2,-10.666677197199453,transitive_percolation,-10.708439389286,0.04176219208654608,2.5,17
uniform_0.5x,10,1.0,4,-8.842024590900255,lorentzian_like_3d,-9.398817758602236,0.5567931677019811,2.5,17
uniform_0.5x,10,2.0,14,-5.192719378301861,multi_layer_random,-7.897215487883102,2.7044961095812408,2.5,17
uniform_0.5x,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,2.5,17
uniform_0.5x,20,0.2,3,-33.19796494711484,lorentzian_like_5d,-34.18886130172192,0.9908963546070808,2.5,17
uniform_0.5x,20,0.5,2,-32.548434272822234,lorentzian_like_5d,-33.12574853162416,0.5773142588019269,2.5,17
uniform_0.5x,20,1.0,1,-31.465883149001236,lorentzian_like_4d,-31.465883149001236,0.0,2.5,17
uniform_0.5x,20,2.0,1,-29.300780901359225,lorentzian_like_4d,-29.300780901359225,0.0,2.5,17
uniform_0.5x,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,2.5,17
uniform_0.5x,40,0.2,3,-85.8538775977627,lorentzian_like_5d,-91.44405888261886,5.590181284856158,2.5,17
uniform_0.5x,40,0.5,3,-85.34091193520192,lorentzian_like_5d,-90.5989302748444,5.25801833964249,2.5,17
uniform_0.5x,40,1.0,3,-84.48596916426727,lorentzian_like_5d,-89.19038259522031,4.704413430953039,2.5,17
uniform_0.5x,40,2.0,3,-82.77608362239799,lorentzian_like_5d,-86.37328723597216,3.597203613574166,2.5,17
uniform_2.0x,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,10.0,17
uniform_2.0x,10,0.2,2,-9.571885633419935,lorentzian_like_3d,-9.713536464001077,0.14165083058114192,10.0,17
uniform_2.0x,10,0.5,14,-5.192719378301861,multi_layer_random,-7.897215487883102,2.7044961095812408,10.0,17
uniform_2.0x,10,1.0,15,2.1058910468949277,KR_like,-6.379791792935416,8.485682839830343,10.0,17
uniform_2.0x,10,2.0,15,16.703111897288508,KR_like,-3.9025050486950748,20.605616945983584,10.0,17
uniform_2.0x,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,10.0,17
uniform_2.0x,20,0.2,2,-31.898903598529635,lorentzian_like_5d,-32.06263576152641,0.16373216299677296,10.0,17
uniform_2.0x,20,0.5,1,-29.300780901359225,lorentzian_like_4d,-29.300780901359225,0.0,10.0,17
uniform_2.0x,20,1.0,3,-24.970576406075203,lorentzian_like_3d,-26.007283123582233,1.0367067175070304,10.0,17
uniform_2.0x,20,2.0,14,-16.310167415507163,KR_like,-22.045066162587222,5.734898747080059,10.0,17
uniform_2.0x,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,10.0,17
uniform_2.0x,40,0.2,3,-84.82794627264113,lorentzian_like_5d,-89.75380166706995,4.925855394428822,10.0,17
uniform_2.0x,40,0.5,3,-82.77608362239799,lorentzian_like_5d,-86.37328723597216,3.597203613574166,10.0,17
uniform_2.0x,40,1.0,2,-79.35631253865944,lorentzian_like_5d,-80.73909651747583,1.3827839788163914,10.0,17
