family,n,gamma,log_H_mean,log_H_std,geo_penalty_mean,score_A3_mean,score_A3_std
interval_order,12,1.6,10.384903436177199,1.8307148713042734,4.923405016792499,-2.507455409309201,11.359790491942613
interval_order,14,0.0,13.739593667756099,1.612332442695375,3.1908375602541836,-13.739593667756099,1.612332442695375
interval_order,14,0.2,13.739593667756099,1.612332442695375,3.1908375602541836,-13.10142615570526,1.8422705000549322
interval_order,14,0.4,13.739593667756099,1.612332442695375,3.1908375602541836,-12.463258643654424,2.265488425425536
interval_order,14,0.8,13.739593667756099,1.612332442695375,3.1908375602541836,-11.18692361955275,3.382571475777766
interval_order,14,1.6,13.739593667756099,1.612332442695375,3.1908375602541836,-8.634253571349403,5.948956547486269
interval_order,16,0.0,15.777394491425284,2.2101162318943897,5.021312329912313,-15.777394491425284,2.2101162318943897
interval_order,16,0.2,15.777394491425284,2.2101162318943897,5.021312329912313,-14.773132025442822,3.202592286970754
interval_order,16,0.4,15.777394491425284,2.2101162318943897,5.021312329912313,-13.76886955946036,4.204001332345857
interval_order,16,0.8,15.777394491425284,2.2101162318943897,5.021312329912313,-11.760344627495435,6.216335386473859
interval_order,16,1.6,15.777394491425284,2.2101162318943897,5.021312329912313,-7.743294763565585,10.252891176604082
interval_order,18,0.0,18.97432785740656,1.8729654271096807,3.4504722584241843,-18.97432785740656,1.8729654271096807
interval_order,18,0.2,18.97432785740656,1.8729654271096807,3.4504722584241843,-18.284233405721725,2.5702473168401334
interval_order,18,0.4,18.97432785740656,1.8729654271096807,3.4504722584241843,-17.59413895403689,3.2754080900047713
interval_order,18,0.8,18.97432785740656,1.8729654271096807,3.4504722584241843,-16.213950050667215,4.695148267314406
interval_order,18,1.6,18.97432785740656,1.8729654271096807,3.4504722584241843,-13.453572243927868,7.547457634017401
interval_order,20,0.0,22.1388872852053,3.1439252675074996,6.019088912434898,-22.1388872852053,3.1439252675074996
interval_order,20,0.2,22.1388872852053,3.1439252675074996,6.019088912434898,-20.93506950271832,3.704551150339523
interval_order,20,0.4,22.1388872852053,3.1439252675074996,6.019088912434898,-19.73125172023134,4.381164413466654
interval_order,20,0.8,22.1388872852053,3.1439252675074996,6.019088912434898,-17.323616155257383,5.918683482508668
