family,n,sample,gamma,log_H,neutral_penalty,geometric_penalty,score_A2,score_A3
KR_like,16,1,0.2,19.626613801725487,0.12097846137152778,8.595735861153546,-17.883270937220473,-17.907466629494778
KR_like,16,1,0.4,19.626613801725487,0.12097846137152778,8.595735861153546,-16.139928072715456,-16.18831945726407
KR_like,16,1,0.8,19.626613801725487,0.12097846137152778,8.595735861153546,-12.653242343705426,-12.75002511280265
KR_like,16,1,1.6,19.626613801725487,0.12097846137152778,8.595735861153546,-5.679870885685366,-5.873436423879813
KR_like,16,2,0.0,20.76997749967037,0.03567165798611111,17.78458087521922,-20.76997749967037,-20.76997749967037
KR_like,16,2,0.2,20.76997749967037,0.03567165798611111,17.78458087521922,-17.205926993029305,-17.213061324626526
KR_like,16,2,0.4,20.76997749967037,0.03567165798611111,17.78458087521922,-13.641876486388238,-13.656145149582684
KR_like,16,2,0.8,20.76997749967037,0.03567165798611111,17.78458087521922,-6.513775473106106,-6.5423127994949954
KR_like,16,2,1.6,20.76997749967037,0.03567165798611111,17.78458087521922,7.742426553458159,7.685351900680381
KR_like,16,3,0.0,19.52954536407149,0.06820848253038195,6.970743132765746,-19.52954536407149,-19.52954536407149
KR_like,16,3,0.2,19.52954536407149,0.06820848253038195,6.970743132765746,-18.121755041012268,-18.13539673751834
KR_like,16,3,0.4,19.52954536407149,0.06820848253038195,6.970743132765746,-16.71396471795304,-16.741248110965195
KR_like,16,3,0.8,19.52954536407149,0.06820848253038195,6.970743132765746,-13.898384071834588,-13.952950857858895
KR_like,16,3,1.6,19.52954536407149,0.06820848253038195,6.970743132765746,-8.267222779597686,-8.376356351646297
KR_like,16,4,0.0,18.76544153540188,0.10897996690538195,6.581364236609242,-18.76544153540188,-18.76544153540188
KR_like,16,4,0.2,18.76544153540188,0.10897996690538195,6.581364236609242,-17.427372694698956,-17.449168688080032
KR_like,16,4,0.4,18.76544153540188,0.10897996690538195,6.581364236609242,-16.08930385399603,-16.132895840758184
KR_like,16,4,0.8,18.76544153540188,0.10897996690538195,6.581364236609242,-13.41316617259018,-13.500350146114485
KR_like,16,4,1.6,18.76544153540188,0.10897996690538195,6.581364236609242,-8.060890809778481,-8.235258756827092
KR_like,16,5,0.0,18.377922876839325,0.11227586534288195,5.327738383374858,-18.377922876839325,-18.377922876839325
KR_like,16,5,0.2,18.377922876839325,0.11227586534288195,5.327738383374858,-17.289920027095775,-17.312375200164354
KR_like,16,5,0.4,18.377922876839325,0.11227586534288195,5.327738383374858,-16.20191717735223,-16.24682752348938
KR_like,16,5,0.8,18.377922876839325,0.11227586534288195,5.327738383374858,-14.025911477865133,-14.115732170139438
KR_like,16,5,1.6,18.377922876839325,0.11227586534288195,5.327738383374858,-9.67390007889094,-9.853541463439552
KR_like,16,6,0.0,20.433775013690695,0.05839708116319444,11.399170985857296,-20.433775013690695,-20.433775013690695
KR_like,16,6,0.2,20.433775013690695,0.05839708116319444,11.399170985857296,-18.142261400286596,-18.153940816519235
KR_like,16,6,0.4,20.433775013690695,0.05839708116319444,11.399170985857296,-15.850747786882499,-15.874106619347778
KR_like,16,6,0.8,20.433775013690695,0.05839708116319444,11.399170985857296,-11.267720560074302,-11.314438225004858
KR_like,16,6,1.6,20.433775013690695,0.05839708116319444,11.399170985857296,-2.101666106457909,-2.195101436319021
